date,day_start_equity,day_end_balance,daily_pnl,daily_dd_pct,total_dd_pct,safety_triggered
2017-01-02,20000.0,20000.0,0.0,0.0,0.0,False
2017-01-03,20000.0,20021.6,21.599999999998545,0.3279583760626156,0.3279583760626156,False
2017-01-04,19934.408324787477,20021.6,87.19167521252166,0.27516328197092094,0.602219237002464,False
2017-01-05,19879.556152599507,19862.943328,-16.612824599505984,1.8032272079112035,2.394587063780764,False
2017-01-06,19521.082587243847,19904.83669038848,383.7541031446344,0.0,1.4288765686723308,False
2017-01-08,19714.224686265534,19904.83669038848,190.61200412294784,0.0,1.4155900891753845,False
2017-01-09,19716.881982164923,19745.980018388484,29.098036223560484,0.7838014606274843,2.1882961340074147,False
2017-01-10,19562.340773198517,19563.86001838848,1.51924518996384,0.4887112929536362,2.6663129766308886,False
2017-01-11,19466.737404673822,19423.825651614105,-42.91175305971774,0.26451816285760477,2.9237782573866755,False
2017-01-12,19415.244348522665,19066.116511448607,-349.12783707405833,0.794139469879777,3.6946988501127818,False
2017-01-13,19261.060229977444,19100.754327701514,-160.30590227592984,0.4040031117026508,4.083775263492935,False
2017-01-15,19183.244947301413,19100.754327701514,-82.49061959989922,0.16745543854749062,4.244392198263649,False
2017-01-16,19151.12156034727,19186.68763970151,35.56607935424108,0.33989220771310963,4.569858047630078,False
2017-01-17,19086.028390473984,18685.036757806956,-400.99163266702817,1.7716525389912523,6.260548580492195,False
2017-01-18,18747.89028390156,18705.216597505387,-42.67368639617416,0.0,4.948225800112068,False
2017-01-19,19010.354839977586,18726.19670520913,-284.15813476845506,0.2600005106645565,5.195360898427498,False
2017-01-20,18960.9278203145,18726.19670520913,-234.7311151053691,1.2093714051372113,6.341901094465448,False
2017-01-22,18731.61978110691,18726.19670520913,-5.423075897779199,0.24848563238894292,6.574628013814326,False
2017-01-23,18685.074397237135,18406.704440379337,-278.36995685779766,0.7201469060090355,7.247427939600275,False
2017-01-24,18550.514412079945,18447.152074862588,-103.36233721735698,0.0,5.514981347657085,False
2017-01-25,18897.003730468583,18395.225153383617,-501.77857708496595,0.0,4.9905422249652105,False
2017-01-26,19001.891555006958,18436.602885087363,-565.2886699195951,0.0,4.989587927362281,False
2017-01-27,19002.082414527544,18436.602885087363,-565.4795294401811,1.3113466646715886,6.235503797167548,False
2017-01-29,18752.89924056649,18436.602885087363,-316.29635547912767,0.09893498673792538,6.328269689050703,False
2017-01-30,18734.34606218986,18540.40266301823,-193.9433991716287,0.0,3.7782404059279178,False
2017-01-31,19244.351918814416,18634.990599993722,-609.3613188206946,0.6144043420592056,4.369431074879667,False
2017-02-01,19126.113785024067,18674.925765985674,-451.18801903839267,0.4781770617829482,4.826714519532124,False
2017-02-02,19034.657096093575,18527.107931866503,-507.54916422707174,0.0,4.171783394583818,False
2017-02-03,19165.643321083237,18546.316782982398,-619.3265381008387,0.0,3.8183295441534573,False
2017-02-05,19236.33409116931,18546.316782982398,-690.0173081869107,0.0,3.4742520686546414,False
2017-02-06,19305.14958626907,18645.600729612393,-659.5488566566783,0.0,1.3888788250034123,False
2017-02-07,19722.224234999318,19117.47997395366,-604.7442610456565,0.0,0.7671560406805292,False
2017-02-08,19846.568791863894,19235.097222741642,-611.4715691222518,1.7367275359121703,2.4905601663907873,False
2017-02-09,19501.887966721843,18719.42862168545,-782.4593450363936,2.31791341938055,4.7507445574568195,False
2017-02-10,19049.851088508636,18718.868621685448,-330.9824668231886,0.0,4.274906696535218,False
2017-02-12,19145.018660692956,18718.868621685448,-426.1500390075089,1.0401432153365386,5.270584759905778,False
2017-02-13,18945.883048018844,18700.799431004958,-245.0836170138864,0.0,4.270479674473427,False
2017-02-14,19145.904065105315,18700.799431004958,-445.10463410035663,0.27658254877359995,4.53525082171851,False
2017-02-15,19092.949835656298,18700.799431004958,-392.15040465134007,0.0,3.4289959473761886,False
2017-02-16,19314.200810524762,18792.854104695743,-521.3467058290189,1.6812384549244916,5.05258480381559,False
2017-02-17,18989.483039236882,18833.288070518585,-156.19496871829688,0.0,3.084568147735517,False
2017-02-19,19383.086370452897,18833.288070518585,-549.7982999343112,0.5839303842475276,3.650486801345596,False
2017-02-20,19269.90263973088,18853.584352951657,-416.31828677922385,0.12074248983245874,3.766821602523105,False
2017-02-21,19246.63567949538,18853.584352951657,-393.0513265437221,0.0,2.858530827356499,False
2017-02-22,19428.2938345287,18933.139757415236,-495.15407711346415,0.0,1.754448150343178,False
2017-02-23,19649.110369931364,18953.356135526657,-695.754234404707,0.0,1.4476456348010833,False
2017-02-24,19710.470873039783,18951.836135526657,-758.6347375131263,0.0,1.3454754790730838,False
2017-02-26,19730.904904185383,18951.836135526657,-779.0687686587262,0.0,0.8511600320509023,False
2017-02-27,19829.76799358982,18992.667631254215,-837.1003623356046,0.5720329768333092,1.4183240928152554,False
2017-02-28,19716.33518143695,19247.668735096155,-468.6664463407942,0.0,1.2000697023587965,False
2017-03-01,19759.98605952824,19477.23621300522,-282.7498465230201,0.0,0.7588947471334176,False
2017-03-02,19848.221050573316,19476.316213005222,-371.9048375680941,2.772313973603171,3.5101697756168684,False
2017-03-03,19297.966044876626,19210.67371389776,-87.29233097886754,2.7687964882527654,6.181776806390644,False
2017-03-05,18763.64463872187,19210.67371389776,447.02907517588756,0.0,6.087715821585789,False
2017-03-06,18782.456835682842,19210.67371389776,428.2168782149165,0.0,5.749484297454564,False
2017-03-07,18850.103140509087,19036.93880925158,186.835668742493,0.14526263905641704,5.886395083888365,False
2017-03-08,18822.720983222327,18687.20780832986,-135.51317489246867,2.4062104516262215,8.150966481782051,False
2017-03-09,18369.80670364359,18170.313064946175,-199.493638697415,1.5713668396606255,9.594251737036103,False
