symbol,trades,wins,win_rate,profit_r,profit_usd,avg_r_per_trade
EUR_JPY,50,21,42.0,67.45,14165.06,1.349
SPX500_USD,47,20,42.6,66.26,13913.67,1.41
GBP_JPY,48,20,41.7,64.17,13475.61,1.337
GBP_NZD,33,16,48.5,56.7,11906.44,1.718
GBP_USD,55,20,36.4,55.41,11635.25,1.007
AUD_JPY,40,17,42.5,54.43,11430.8,1.361
XAU_USD,39,16,41.0,51.82,10881.59,1.329
CHF_JPY,43,17,39.5,51.69,10855.57,1.202
USD_CHF,42,17,40.5,50.67,10641.58,1.207
EUR_NZD,31,14,45.2,47.28,9928.55,1.525
NAS100_USD,44,16,36.4,46.81,9829.35,1.064
USD_CAD,57,19,33.3,46.73,9813.22,0.82
USD_JPY,38,15,39.5,45.56,9568.61,1.199
GBP_AUD,50,17,34.0,44.6,9366.99,0.892
XAG_USD,43,14,32.6,36.18,7597.34,0.841
CAD_JPY,45,14,31.1,32.26,6774.79,0.717
CAD_CHF,43,14,32.6,30.88,6484.07,0.718
EUR_USD,59,16,27.1,27.58,5792.53,0.468
ETH_USD,92,20,21.7,21.56,4528.3,0.234
AUD_NZD,59,15,25.4,20.25,4252.49,0.343
EUR_AUD,42,11,26.2,18.75,3938.33,0.447
NZD_CHF,37,10,27.0,15.62,3279.27,0.422
AUD_CAD,33,9,27.3,15.0,3149.64,0.454
GBP_CAD,30,8,26.7,14.23,2988.14,0.474
EUR_GBP,38,10,26.3,13.08,2745.86,0.344
BTC_USD,83,16,19.3,13.06,2743.58,0.157
AUD_USD,37,8,21.6,5.47,1148.9,0.148
NZD_CAD,53,11,20.8,4.72,990.74,0.089
EUR_CHF,17,4,23.5,4.15,872.17,0.244
EUR_CAD,23,5,21.7,4.14,868.67,0.18
AUD_CHF,33,7,21.2,3.26,685.5,0.099
GBP_CHF,24,5,20.8,2.74,574.4,0.114
NZD_USD,28,3,10.7,-13.34,-2801.42,-0.476
NZD_JPY,40,5,12.5,-14.01,-2942.12,-0.35
TOTAL,1476,450,30.5,1005.16,211083.49,0.681
