period,month,trades,wins,win_rate,profit_r,profit_usd
final,2023-01,72,15,20.8,10.22,2145.83
final,2023-02,39,11,28.2,21.98,4616.23
final,2023-03,71,24,33.8,62.39,13101.93
final,2023-04,39,15,38.5,44.74,9395.84
final,2023-05,40,14,35.0,37.82,7942.6
final,2023-06,45,15,33.3,38.31,8045.14
final,2023-07,75,22,29.3,46.31,9726.01
final,2023-08,45,12,26.7,20.61,4328.73
final,2023-09,28,6,21.4,4.19,879.03
final,2023-10,50,16,32.0,38.01,7981.79
final,2023-11,49,4,8.2,-29.94,-6287.28
final,2023-12,48,19,39.6,56.78,11924.01
final,2024-01,44,22,50.0,78.39,16462.84
final,2024-02,29,8,27.6,14.33,3009.34
final,2024-03,35,13,37.1,36.42,7647.85
final,2024-04,82,21,25.6,31.64,6644.97
final,2024-05,45,14,31.1,31.57,6628.77
final,2024-06,49,12,24.5,15.53,3261.43
final,2024-07,58,13,22.4,12.26,2574.27
final,2024-08,35,9,25.7,14.84,3115.79
final,2024-09,46,11,23.9,13.84,2906.29
final,2024-10,26,12,46.2,40.75,8556.57
final,2024-11,38,21,55.3,84.05,17651.24
final,2024-12,32,5,15.6,-5.01,-1052.17
final,2025-01,49,10,20.4,5.78,1213.88
final,2025-02,28,6,21.4,4.44,933.4
final,2025-03,35,13,37.1,36.88,7745.13
final,2025-04,62,24,38.7,71.44,15002.67
final,2025-05,27,14,51.9,51.66,10849.28
final,2025-06,14,6,42.9,19.75,4146.66
final,2025-07,13,6,46.2,20.42,4288.86
final,2025-08,24,9,37.5,25.45,5344.47
final,2025-09,18,4,22.2,3.44,723.43
final,2025-10,52,14,26.9,25.27,5306.7
final,2025-11,29,8,27.6,14.7,3087.26
final,2025-12,5,2,40.0,5.88,1234.71
final,TOTAL,1476,450,30.5,1005.16,211083.49
