trade_id,symbol,direction,entry_date,exit_date,entry_price,exit_price,stop_loss,take_profit,result_r,profit_usd,win,confluence_score,quality_factors
1,NZD_CAD,bearish,2023-01-01 22:00:00+00:00,2023-01-03 22:00:00+00:00,0.86688276,0.8481716678920453,0.8801667819166925,0.8589123468499844,1.41,1549.4,1,14,0
2,NZD_CAD,bearish,2023-01-01 22:00:00+00:00,2023-01-03 22:00:00+00:00,0.865286,0.8441861355997564,0.8802005832083574,0.8563372500749856,1.41,1556.19,1,14,0
3,GBP_NZD,bearish,2023-01-01 22:00:00+00:00,2023-01-18 22:00:00+00:00,1.91768,1.9376001304136528,1.9394148417388353,1.904639094956699,-0.92,-1008.16,0,15,0
4,EUR_JPY,bearish,2023-01-01 22:00:00+00:00,2023-02-14 22:00:00+00:00,140.03824999999998,142.78474964898504,143.06716116664973,138.22090330001012,-0.91,-997.44,0,14,0
5,CAD_JPY,bearish,2023-01-02 22:00:00+00:00,2023-01-03 22:00:00+00:00,96.751292,98.16957892678688,98.09457892678688,95.94531984392788,-1.06,-1161.42,0,15,0
6,GBP_CHF,bearish,2023-01-02 22:00:00+00:00,2023-01-19 22:00:00+00:00,1.1258235,1.1379105211604659,1.1386772654880566,1.1181112407071663,-0.94,-1034.38,0,15,0
7,EUR_JPY,bearish,2023-01-02 22:00:00+00:00,2023-01-09 22:00:00+00:00,139.59322,141.72202095548613,141.92179251188904,138.19607649286658,-0.91,-1005.63,0,14,0
8,CHF_JPY,bearish,2023-01-02 22:00:00+00:00,2023-01-12 22:00:00+00:00,141.782886,138.6940139182482,143.94252564624693,140.4871022122518,1.43,1573.3,1,15,0
9,USD_CHF,bullish,2023-01-02 22:00:00+00:00,2023-01-08 22:00:00+00:00,0.93620296,0.9165331759199153,0.9172831759199154,0.9475548304480508,-1.04,-1143.61,0,15,0
10,USD_CAD,bullish,2023-01-02 22:00:00+00:00,2023-01-03 22:00:00+00:00,1.36319808,1.3518831749415958,1.3526331749415959,1.3695370230350425,-1.07,-1178.09,0,15,0
11,EUR_USD,bearish,2023-01-02 22:00:00+00:00,2023-01-11 22:00:00+00:00,1.0540043000000001,1.0789675288660256,1.0782175288660256,1.039476362680385,-1.03,-1134.07,0,15,0
12,EUR_USD,bullish,2023-01-02 22:00:00+00:00,2023-01-12 22:00:00+00:00,1.05663868,1.0872285208237638,1.044789968913511,1.0637479066518936,2.58,2839.87,1,15,0
13,NZD_CAD,bullish,2023-01-03 22:00:00+00:00,2023-01-18 22:00:00+00:00,0.84836016,0.8782187698345243,0.8274669109661951,0.860896109420283,1.43,1572.01,1,14,0
14,CAD_JPY,bearish,2023-01-03 22:00:00+00:00,2023-01-08 22:00:00+00:00,96.909822,99.08711576730896,99.01211576730896,95.64844573961463,-1.04,-1139.24,0,15,0
15,USD_JPY,bearish,2023-01-03 22:00:00+00:00,2023-01-15 22:00:00+00:00,131.763984,126.77383122996315,135.22142616384767,129.68951870169138,1.44,1587.64,1,15,0
16,AUD_CHF,bearish,2023-01-03 22:00:00+00:00,2023-01-08 22:00:00+00:00,0.62974152,0.6405005002014096,0.6397505002014096,0.6237361318791543,-1.07,-1182.43,0,15,0
17,CHF_JPY,bearish,2023-01-03 22:00:00+00:00,2023-01-15 22:00:00+00:00,142.271846,137.5366243127289,145.55527377288132,140.3017893362712,1.44,1586.37,1,15,0
18,EUR_AUD,bullish,2023-01-03 22:00:00+00:00,2023-01-08 22:00:00+00:00,1.56553982,1.544482832906022,1.545232832906022,1.5777240122563867,-1.04,-1140.63,0,15,0
19,USD_CAD,bullish,2023-01-03 22:00:00+00:00,2023-01-04 22:00:00+00:00,1.36044,1.3518420910171962,1.3525920910171962,1.3651487453896824,-1.1,-1205.12,0,15,0
20,AUD_CAD,bullish,2023-01-04 22:00:00+00:00,2023-01-12 22:00:00+00:00,0.9162,0.9327902386246281,0.9043636596418921,0.9233018042148647,1.4,1541.8,1,14,0
21,USD_JPY,bullish,2023-01-04 22:00:00+00:00,2023-01-11 22:00:00+00:00,133.47302,129.01087570499863,129.0858757049986,136.10530657700082,-1.02,-1118.8,0,15,0
22,USD_CAD,bullish,2023-01-04 22:00:00+00:00,2023-01-05 22:00:00+00:00,1.35786192,1.3461547203490127,1.3469047203490128,1.3644362397905923,-1.07,-1175.29,0,15,0
23,USD_CAD,bearish,2023-01-04 22:00:00+00:00,2023-01-09 22:00:00+00:00,1.3571,1.3343170337249397,1.3731634582082322,1.3474619250750606,1.42,1560.14,1,14,0
24,AUD_USD,bullish,2023-01-04 22:00:00+00:00,2023-01-09 22:00:00+00:00,0.673967,0.6902557993241585,0.662336420256547,0.6809453478460717,1.4,1540.57,1,15,0
25,AUD_USD,bullish,2023-01-04 22:00:00+00:00,2023-01-09 22:00:00+00:00,0.67511,0.6931304162921323,0.662297429152128,0.6827975425087232,1.41,1547.11,1,14,0
26,XAG_USD,bearish,2023-01-05 00:00:00+00:00,2023-02-02 00:00:00+00:00,23.341060047149657,24.43894316935612,24.43144316935612,22.68683017382578,-1.01,-1107.57,0,15,0
27,EUR_NZD,bearish,2023-01-05 22:00:00+00:00,2023-02-26 22:00:00+00:00,1.67724,1.7211711606740552,1.7204211606740551,1.651331303595567,-1.02,-1119.11,0,15,0
28,USD_CAD,bullish,2023-01-05 22:00:00+00:00,2023-01-08 22:00:00+00:00,1.36319808,1.3434078233770723,1.3441578233770723,1.3746222339737568,-1.04,-1143.33,0,15,0
29,USD_CAD,bearish,2023-01-05 22:00:00+00:00,2023-01-09 22:00:00+00:00,1.36303376,1.3387030331063945,1.3748364550087555,1.3559521429947468,2.06,2267.6,1,14,0
30,AUD_USD,bullish,2023-01-05 22:00:00+00:00,2023-01-09 22:00:00+00:00,0.6731889,0.693276215386635,0.6633831045239365,0.6790723772856381,2.05,2253.37,1,15,0
31,SPX500_USD,bullish,2023-01-06 00:00:00+00:00,2023-01-13 00:00:00+00:00,3874.5575,4046.2622626099633,3756.8409384914926,3945.1874369051043,1.46,1604.49,1,15,0
32,EUR_NZD,bearish,2023-01-08 22:00:00+00:00,2023-02-16 22:00:00+00:00,1.66802728,1.715711242566224,1.714961242566224,1.6398669024602657,-1.02,-1117.58,0,15,0
33,AUD_JPY,bearish,2023-01-08 22:00:00+00:00,2023-03-13 21:00:00+00:00,91.07997800000001,87.4828147502661,93.58657407490371,89.57602035505779,1.44,1578.59,1,15,0
34,SPX500_USD,bullish,2023-01-09 00:00:00+00:00,2023-05-22 00:00:00+00:00,3968.793,4278.025068049766,3757.201144675928,4095.7481131944432,1.46,1607.6,1,15,0
35,EUR_CAD,bullish,2023-01-09 22:00:00+00:00,2023-01-15 22:00:00+00:00,1.44192,1.4536652406927881,1.4333908254656738,1.447037504720596,1.38,1514.77,1,15,0
36,EUR_CAD,bullish,2023-01-09 22:00:00+00:00,2023-03-13 21:00:00+00:00,1.44135,1.472888656560692,1.4193099613920188,1.4545740231647886,1.43,1574.07,1,15,0
