symbol,trades,wins,win_rate,profit_r,profit_usd,avg_r_per_trade
AUD_JPY,74,47,63.5,55.26,60790.69,0.747
USD_CHF,80,49,61.3,49.4,54335.46,0.617
USD_JPY,81,47,58.0,46.13,50743.01,0.57
USD_CAD,115,63,54.8,44.85,49334.18,0.39
GBP_NZD,88,50,56.8,40.79,44870.94,0.464
GBP_JPY,79,45,57.0,40.01,44014.55,0.506
SPX500_USD,71,39,54.9,36.57,40225.34,0.515
CHF_JPY,75,42,56.0,36.49,40139.11,0.487
EUR_USD,86,46,53.5,35.79,39374.38,0.416
NAS100_USD,62,33,53.2,34.8,38275.1,0.561
XAU_USD,69,36,52.2,33.8,37181.26,0.49
AUD_CAD,95,53,55.8,31.9,35084.66,0.336
GBP_AUD,87,45,51.7,28.9,31790.94,0.332
GBP_CAD,69,38,55.1,27.65,30416.2,0.401
GBP_CHF,66,37,56.1,26.43,29067.61,0.4
GBP_USD,84,41,48.8,24.74,27209.95,0.294
BTC_USD,135,55,40.7,23.93,26323.5,0.177
EUR_NZD,74,37,50.0,23.7,26074.37,0.32
XAG_USD,62,28,45.2,19.75,21721.71,0.319
ETH_USD,118,47,39.8,17.37,19111.48,0.147
EUR_CAD,63,30,47.6,15.3,16831.2,0.243
AUD_USD,92,44,47.8,15.19,16706.08,0.165
EUR_JPY,84,38,45.2,15.03,16533.26,0.179
NZD_CHF,62,30,48.4,14.01,15406.35,0.226
EUR_GBP,71,36,50.7,12.57,13824.49,0.177
AUD_CHF,52,24,46.2,7.49,8235.51,0.144
CAD_JPY,81,35,43.2,6.97,7666.53,0.086
AUD_NZD,74,30,40.5,4.87,5359.74,0.066
CAD_CHF,57,23,40.4,3.22,3541.86,0.056
NZD_CAD,90,38,42.2,1.71,1878.77,0.019
EUR_AUD,75,27,36.0,-1.96,-2160.22,-0.026
NZD_USD,91,34,37.4,-4.09,-4500.76,-0.045
EUR_CHF,88,36,40.9,-5.75,-6320.32,-0.065
NZD_JPY,76,26,34.2,-10.8,-11877.52,-0.142
TOTAL,2726,1329,48.8,752.01,827209.39,0.276
