time,open,high,low,close,volume
2005-01-01 00:00:00,1628.0,1644.0,1557.5,1567.5,1887894
2005-01-08 00:00:00,1570.5,1584.5,1547.5,1562.5,1707605
2005-01-15 00:00:00,1564.5,1580.5,1506.0,1509.5,1474539
2005-01-22 00:00:00,1510.0,1518.0,1484.5,1509.5,1821480
2005-01-29 00:00:00,1513.0,1539.0,1504.5,1534.0,1402111
2005-02-05 00:00:00,1537.5,1546.5,1499.5,1534.0,1594131
2005-02-12 00:00:00,1536.5,1565.0,1514.0,1517.0,1596014
2005-02-19 00:00:00,1518.5,1532.0,1490.5,1531.0,1438582
2005-02-26 00:00:00,1530.5,1543.5,1499.5,1525.0,1668977
2005-03-05 00:00:00,1528.0,1555.0,1502.0,1509.0,1222220
2005-03-12 00:00:00,1509.0,1523.5,1482.5,1486.9000244140625,470855
2005-03-19 00:00:00,1492.5,1500.0,1463.5,1480.0,1144356
2005-03-26 00:00:00,1482.0,1508.0,1465.5,1480.0,1571178
2005-04-02 00:00:00,1478.0,1511.5,1468.5,1493.5,1334994
2005-04-09 00:00:00,1492.0,1499.0,1412.5,1414.5,1992973
2005-04-16 00:00:00,1414.5,1454.5,1400.5,1431.5,1894355
2005-04-23 00:00:00,1430.5,1452.0,1397.5,1425.5,1613082
2005-04-30 00:00:00,1426.0,1468.0,1419.0,1458.0,1353547
2005-05-07 00:00:00,1459.5,1483.0,1435.0,1473.5,1674839
2005-05-14 00:00:00,1474.5,1532.0,1468.5,1530.5,1356493
2005-05-21 00:00:00,1530.5,1554.5,1526.5,1552.0,1111683
2005-05-28 00:00:00,1552.0,1576.5,1540.0,1550.5,1036642
2005-06-04 00:00:00,1550.0,1562.0,1516.5,1524.0,1015784
2005-06-11 00:00:00,1523.0,1549.0,1510.5,1553.9599609375,412715
2005-06-18 00:00:00,1548.5,1561.0,1507.5,1511.5,1432545
2005-06-25 00:00:00,1511.5,1524.0,1498.0,1500.0,1083285
