time,open,high,low,close,volume
2017-08-01 00:00:00+00:00,301.13000000,393.71000000,144.21000000,384.79000000,82652.55971000
2017-09-01 00:00:00+00:00,386.44000000,394.39000000,192.00000000,304.36000000,167937.12444000
2017-10-01 00:00:00+00:00,305.13000000,354.00000000,272.20000000,304.90000000,231137.83697000
2017-11-01 00:00:00+00:00,304.89000000,515.00000000,274.73000000,427.43000000,558140.09976000
2017-12-01 00:00:00+00:00,428.05000000,864.90000000,375.01000000,733.98000000,1709681.42863000
2018-01-01 00:00:00+00:00,733.01000000,1440.00000000,716.80000000,1124.81000000,4449875.05067000
2018-02-01 00:00:00+00:00,1125.96000000,1164.99000000,570.10000000,853.50000000,4763007.17082000
2018-03-01 00:00:00+00:00,853.50000000,879.96000000,366.00000000,393.92000000,3233542.72918000
2018-04-01 00:00:00+00:00,393.93000000,712.99000000,356.90000000,670.78000000,3985713.71581000
2018-05-01 00:00:00+00:00,670.78000000,839.99000000,506.11000000,577.81000000,4408748.58226000
2018-06-01 00:00:00+00:00,577.81000000,628.81000000,404.48000000,454.09000000,3679540.26495000
2018-07-01 00:00:00+00:00,454.20000000,515.47000000,416.94000000,432.22000000,4643015.20349000
2018-08-01 00:00:00+00:00,432.20000000,434.99000000,250.00000000,281.41000000,8484870.73771000
2018-09-01 00:00:00+00:00,281.46000000,302.00000000,167.32000000,232.94000000,15011197.24495000
2018-10-01 00:00:00+00:00,233.04000000,239.00000000,189.01000000,198.73000000,5656055.71475000
2018-11-01 00:00:00+00:00,198.70000000,224.80000000,102.36000000,113.73000000,10359779.81155000
2018-12-01 00:00:00+00:00,113.71000000,157.67000000,81.79000000,131.45000000,18264688.97842000
2019-01-01 00:00:00+00:00,131.45000000,159.26000000,100.91000000,106.44000000,13940118.50003000
2019-02-01 00:00:00+00:00,106.47000000,166.00000000,101.21000000,135.34000000,12685474.00855000
2019-03-01 00:00:00+00:00,135.32000000,145.89000000,122.60000000,141.38000000,8362024.66500000
2019-04-01 00:00:00+00:00,141.41000000,185.87000000,139.57000000,161.83000000,12829462.34072000
2019-05-01 00:00:00+00:00,161.85000000,288.62000000,157.55000000,267.90000000,18976801.36183000
2019-06-01 00:00:00+00:00,267.90000000,366.80000000,226.56000000,292.70000000,12433954.40436000
2019-07-01 00:00:00+00:00,292.89000000,318.19000000,191.84000000,218.42000000,11176590.65074000
2019-08-01 00:00:00+00:00,218.42000000,239.15000000,163.61000000,171.57000000,6963710.33197000
2019-09-01 00:00:00+00:00,171.52000000,223.94000000,150.03000000,180.85000000,13648082.36985000
2019-10-01 00:00:00+00:00,180.89000000,197.74000000,153.45000000,182.18000000,14105916.59043000
2019-11-01 00:00:00+00:00,182.19000000,195.09000000,131.45000000,151.37000000,10175750.16427000
2019-12-01 00:00:00+00:00,151.43000000,152.49000000,116.26000000,129.16000000,8781775.78331000
2020-01-01 00:00:00+00:00,129.16000000,187.00000000,125.88000000,179.99000000,12817879.25715000
2020-02-01 00:00:00+00:00,179.94000000,288.41000000,179.10000000,217.21000000,21153996.14580000
2020-03-01 00:00:00+00:00,217.29000000,251.93000000,86.00000000,132.72000000,40100166.98948000
2020-04-01 00:00:00+00:00,132.72000000,227.30000000,128.62000000,206.08000000,30622487.94288000
2020-05-01 00:00:00+00:00,206.07000000,247.00000000,176.00000000,231.57000000,24717586.81853000
2020-06-01 00:00:00+00:00,231.56000000,253.80000000,216.00000000,225.60000000,16073920.07730000
2020-07-01 00:00:00+00:00,225.59000000,349.45000000,222.87000000,346.33000000,20935176.05306000
2020-08-01 00:00:00+00:00,346.32000000,446.00000000,325.00000000,433.79000000,28769352.88701000
2020-09-01 00:00:00+00:00,433.80000000,488.84000000,308.42000000,359.83000000,34431117.99327000
2020-10-01 00:00:00+00:00,359.83000000,420.73000000,332.18000000,386.46000000,19292758.26132000
2020-11-01 00:00:00+00:00,386.44000000,623.00000000,370.23000000,616.66000000,36426105.33250000
2020-12-01 00:00:00+00:00,616.65000000,758.74000000,530.43000000,736.42000000,30451194.43342000
2021-01-01 00:00:00+00:00,736.42000000,1475.00000000,714.29000000,1312.55000000,59503044.01252000
2021-02-01 00:00:00+00:00,1312.45000000,2042.34000000,1269.99000000,1419.18000000,33561918.29258000
2021-03-01 00:00:00+00:00,1418.67000000,1947.29000000,1409.91000000,1919.37000000,23574009.12632000
2021-04-01 00:00:00+00:00,1919.37000000,2798.30000000,1885.02000000,2772.42000000,27220161.75533000
2021-05-01 00:00:00+00:00,2772.42000000,4372.72000000,1728.74000000,2706.15000000,49340730.68020000
2021-06-01 00:00:00+00:00,2706.15000000,2891.95000000,1700.48000000,2275.68000000,27539800.65398000
2021-07-01 00:00:00+00:00,2275.68000000,2553.86000000,1706.00000000,2531.05000000,21263142.44244000
2021-08-01 00:00:00+00:00,2531.10000000,3476.00000000,2442.32000000,3429.20000000,21436438.89134000
2021-09-01 00:00:00+00:00,3429.19000000,4027.88000000,2652.00000000,3000.61000000,17261458.33691000
2021-10-01 00:00:00+00:00,3000.62000000,4460.47000000,2969.07000000,4287.21000000,14410441.89498000
2021-11-01 00:00:00+00:00,4287.48000000,4868.00000000,3913.00000000,4630.26000000,12756119.36968000
2021-12-01 00:00:00+00:00,4630.25000000,4778.75000000,3503.68000000,3676.23000000,12944880.07640000
2022-01-01 00:00:00+00:00,3676.22000000,3900.73000000,2159.00000000,2686.94000000,13966551.02275000
2022-02-01 00:00:00+00:00,2686.94000000,3283.66000000,2300.00000000,2920.95000000,14131677.98022000
2022-03-01 00:00:00+00:00,2920.83000000,3481.87000000,2445.00000000,3281.51000000,14266235.71330000
2022-04-01 00:00:00+00:00,3281.51000000,3580.34000000,2709.26000000,2726.66000000,12949941.31200000
2022-05-01 00:00:00+00:00,2726.67000000,2965.85000000,1703.00000000,1941.90000000,24777431.00913000
2022-06-01 00:00:00+00:00,1941.90000000,1972.58000000,881.56000000,1071.01000000,40584115.82385000
2022-07-01 00:00:00+00:00,1071.02000000,1784.79000000,1006.32000000,1678.12000000,38630369.93046000
2022-08-01 00:00:00+00:00,1678.12000000,2030.00000000,1422.08000000,1554.10000000,26075507.31570000
2022-09-01 00:00:00+00:00,1554.11000000,1789.00000000,1220.00000000,1328.72000000,22545307.09920000
2022-10-01 00:00:00+00:00,1328.71000000,1663.06000000,1190.00000000,1572.69000000,16768090.41410000
2022-11-01 00:00:00+00:00,1572.69000000,1680.00000000,1073.53000000,1294.46000000,23158646.74420000
2022-12-01 00:00:00+00:00,1294.46000000,1352.72000000,1150.51000000,1196.13000000,10466310.27870000
2023-01-01 00:00:00+00:00,1196.13000000,1679.26000000,1190.57000000,1585.33000000,14091007.08280000
2023-02-01 00:00:00+00:00,1585.32000000,1742.97000000,1461.93000000,1605.23000000,13176410.48410000
2023-03-01 00:00:00+00:00,1605.24000000,1857.16000000,1368.39000000,1821.52000000,20803771.43630000
2023-04-01 00:00:00+00:00,1821.52000000,2141.54000000,1762.77000000,1870.09000000,14307106.26080000
2023-05-01 00:00:00+00:00,1870.08000000,2019.00000000,1740.00000000,1873.63000000,11277172.85980000
2023-06-01 00:00:00+00:00,1873.63000000,1948.60000000,1626.01000000,1933.79000000,10385952.63780000
2023-07-01 00:00:00+00:00,1933.80000000,2029.11000000,1826.00000000,1856.14000000,7059027.67460000
2023-08-01 00:00:00+00:00,1856.13000000,1879.74000000,1550.00000000,1645.76000000,7456380.66850000
