timestamp,open,high,low,close,volume
2004-01-23 22:00:00+00:00,261.26,264.51,261.26,263.0,12
2004-01-30 22:00:00+00:00,263.01,267.99,263.01,267.99,12
2004-02-06 22:00:00+00:00,267.22,267.22,263.34,263.41,12
2004-02-13 22:00:00+00:00,263.72,264.19,260.8,260.99,12
2004-02-20 22:00:00+00:00,260.39,260.39,256.57,256.57,12
2004-02-27 22:00:00+00:00,256.37,256.37,255.16,255.2,12
2004-03-05 22:00:00+00:00,255.84,255.84,252.02,253.6,12
2004-03-12 22:00:00+00:00,254.31,255.67,253.11,253.63,12
2004-03-19 22:00:00+00:00,253.96,253.96,250.55,250.55,12
2004-03-26 22:00:00+00:00,250.32,250.32,248.45,249.0,12
2004-04-02 22:00:00+00:00,248.75,248.75,247.27,247.69,12
2004-04-09 21:00:00+00:00,247.63,252.47,247.63,251.97,12
2004-04-16 21:00:00+00:00,252.38,252.38,249.81,250.42,12
2004-04-23 21:00:00+00:00,250.04,252.52,249.67,250.88,12
2004-04-30 21:00:00+00:00,250.94,253.4,250.6,253.4,12
2004-05-07 21:00:00+00:00,253.29,256.58,253.29,255.24,12
2004-05-14 21:00:00+00:00,255.27,255.27,252.27,253.66,12
2004-05-21 21:00:00+00:00,253.81,253.81,251.04,251.24,12
2004-05-28 21:00:00+00:00,251.65,252.87,251.47,252.87,12
2004-06-04 21:00:00+00:00,253.1,253.34,250.89,253.34,12
2004-06-11 21:00:00+00:00,253.32,254.57,252.74,254.51,12
2004-06-18 21:00:00+00:00,254.38,255.19,253.1,253.24,12
2004-06-25 21:00:00+00:00,253.01,253.34,250.57,250.57,12
2004-07-02 21:00:00+00:00,250.79,252.02,250.26,252.02,12
2004-07-09 21:00:00+00:00,252.01,252.01,249.44,250.05,12
2004-07-16 21:00:00+00:00,250.09,250.09,249.08,249.09,12
2004-07-23 21:00:00+00:00,249.37,249.37,246.85,248.19,12
2004-07-30 21:00:00+00:00,249.4,250.715,247.42,247.42,12
2004-08-06 21:00:00+00:00,247.55,248.235,246.325,247.92,12
2004-08-13 21:00:00+00:00,247.92,251.63,246.92,251.63,12
2004-08-20 21:00:00+00:00,251.54,251.54,248.47,248.47,12
2004-08-27 21:00:00+00:00,248.53,249.15,247.85,247.85,12
2004-09-03 21:00:00+00:00,247.69,249.94,247.69,249.94,12
2004-09-10 21:00:00+00:00,250.08,250.08,247.095,247.54,12
2004-09-17 21:00:00+00:00,247.55,247.55,245.275,245.75,12
2004-09-24 21:00:00+00:00,245.74,247.345,245.74,246.15,12
2004-10-01 21:00:00+00:00,246.07,246.07,245.49,245.64,10
2004-10-08 21:00:00+00:00,245.87,248.17,245.36,248.17,12
2004-10-15 21:00:00+00:00,248.11,248.11,246.375,246.375,10
2004-10-22 21:00:00+00:00,246.86,247.76,246.405,246.405,10
2004-10-29 21:00:00+00:00,245.82,246.06,245.47,246.06,12
2004-11-05 22:00:00+00:00,245.61,245.61,244.2,244.2,12
2004-11-12 22:00:00+00:00,243.89,247.25,243.84,247.25,12
2004-11-19 22:00:00+00:00,247.6,247.6,244.74,245.52,12
2004-11-26 22:00:00+00:00,245.16,246.62,244.29,244.89,12
