symbol,trades,wins,win_rate,profit_r,profit_usd,avg_r_per_trade
AUD_JPY,57,35,61.4,42.82,16701.08,0.751
USD_JPY,53,35,66.0,41.36,16129.48,0.78
GBP_JPY,56,35,62.5,39.09,15243.52,0.698
USD_CHF,52,33,63.5,38.71,15095.12,0.744
SPX500_USD,71,39,54.9,37.12,14475.82,0.523
NAS100_USD,62,33,53.2,35.71,13926.33,0.576
XAU_USD,69,36,52.2,34.79,13568.55,0.504
EUR_USD,54,32,59.3,33.12,12915.66,0.613
CHF_JPY,51,30,58.8,30.05,11718.82,0.589
EUR_CAD,41,24,58.5,25.45,9924.24,0.621
EUR_NZD,63,33,52.4,25.14,9806.17,0.399
GBP_NZD,63,33,52.4,25.03,9763.38,0.397
BTC_USD,135,55,40.7,24.8,9673.74,0.184
GBP_CAD,53,30,56.6,23.95,9339.45,0.452
AUD_USD,60,33,55.0,23.36,9111.19,0.389
AUD_CAD,53,31,58.5,23.08,9000.86,0.435
XAG_USD,62,28,45.2,20.5,7995.78,0.331
GBP_AUD,51,27,52.9,19.09,7443.92,0.374
ETH_USD,118,47,39.8,18.29,7134.3,0.155
GBP_CHF,48,26,54.2,18.18,7091.13,0.379
USD_CAD,68,34,50.0,16.51,6439.85,0.243
AUD_CHF,34,19,55.9,15.02,5858.0,0.442
GBP_USD,51,24,47.1,14.33,5590.64,0.281
NZD_CHF,37,18,48.6,12.04,4694.93,0.325
EUR_JPY,58,27,46.6,11.67,4552.99,0.201
CAD_JPY,48,23,47.9,11.17,4357.76,0.233
NZD_USD,62,26,41.9,7.27,2836.6,0.117
AUD_NZD,53,21,39.6,2.78,1083.25,0.052
EUR_GBP,54,23,42.6,-1.18,-458.87,-0.022
EUR_AUD,55,20,36.4,-1.23,-478.42,-0.022
EUR_CHF,57,23,40.4,-5.09,-1986.91,-0.089
NZD_JPY,56,19,33.9,-6.77,-2640.11,-0.121
CAD_CHF,41,13,31.7,-9.02,-3516.49,-0.22
NZD_CAD,62,22,35.5,-9.75,-3804.22,-0.157
TOTAL,2008,987,49.2,637.4,248587.54,0.317
