ticket,symbol,type,volume,open_price,close_price,open_time,close_time,pnl,sl,tp
1000006,GBP_NZD,sell,0.07,1.91264836,1.91488,2023-01-02 01:30:00+00:00,2023-01-03 08:15:00+00:00,-15.621479999999856,1.91264836,0
1000009,EUR_USD,buy,0.14,1.0637465,1.05518,2023-01-03 07:45:00+00:00,2023-01-03 08:45:00+00:00,-119.9309999999989,1.0552592868993564,0
1000001,NZD_USD,sell,0.04000000000000001,0.6382179,0.62548,2023-01-02 02:45:00+00:00,2023-01-03 09:30:00+00:00,50.95159999999988,0.6244987714847374,0
1000011,USD_CAD,buy,0.09999999999999999,1.35786192,1.36137,2023-01-03 01:00:00+00:00,2023-01-03 14:30:00+00:00,35.08080000000024,1.362239316588343,0
1000003,EUR_AUD,buy,0.08,1.56759,1.54556,2023-01-02 07:45:00+00:00,2023-01-04 08:15:00+00:00,-176.23999999999992,1.545596153065576,0
1000002,EUR_JPY,sell,0.030000000000000002,140.03824999999998,138.814,2023-01-02 00:30:00+00:00,2023-01-04 12:30:00+00:00,36.72749999999951,138.82651236221776,0
1000008,EUR_CAD,buy,0.14,1.4430606400000001,1.43176,2023-01-03 07:00:00+00:00,2023-01-04 16:00:00+00:00,-158.20896000000272,1.4317368040194571,0
1000015,AUD_CAD,buy,0.05,0.91455754,0.92508,2023-01-03 08:30:00+00:00,2023-01-04 16:00:00+00:00,52.612300000000054,0.9255234763242888,0
1000013,CAD_JPY,sell,0.12,96.751292,98.21,2023-01-04 14:00:00+00:00,2023-01-04 17:30:00+00:00,-175.04495999999847,98.0960062857143,0
1000012,AUD_JPY,sell,0.07,88.569432,90.733,2023-01-03 01:00:00+00:00,2023-01-04 17:45:00+00:00,-151.44975999999988,90.81531839725325,0
1000019,GBP_NZD,sell,0.06,1.91529,1.91582,2023-01-04 00:45:00+00:00,2023-01-04 18:00:00+00:00,-3.180000000000849,1.91529,0
1000016,AUD_USD,buy,0.04,0.67278,0.68355,2023-01-03 08:30:00+00:00,2023-01-04 19:00:00+00:00,43.079999999999785,0.683105767252569,0
