step,position,leg,symbol,side,volume,entry_time,entry_price,initial_sl,risk_distance,exit_time,exit_price,realized_R,exit_kind,pnl,swap,day_from_start,counted_toward_pass,mfe_r,mae_r
1,1000019,2,NZD_CHF,buy,0.56,2016-05-31 11:15:00+00:00,0.668679,0.660140003252276,0.008539,2016-05-31 22:45:00+00:00,0.6741468478860206,0.64,PARTIAL/TP,306.2,0.0,0,True,,
1,1000019,3,NZD_CHF,buy,0.5599999999999998,2016-05-31 11:15:00+00:00,0.668679,0.660140003252276,0.008539,2016-06-01 21:00:00+00:00,0.67318,0.53,FINAL,252.06,0.0,1,True,0.974,0.18
1,1000020,1,EUR_USD,sell,2.69,2016-06-02 07:15:00+00:00,1.12192,1.1384567277566018,0.016537,2016-06-02 07:30:00+00:00,1.1213,0.04,FINAL,166.78,0.0,2,True,0.054,0.0
1,1000028,1,EUR_AUD,sell,2.92,2016-06-02 07:00:00+00:00,1.550637,1.5716258861055525,0.020989,2016-06-02 07:30:00+00:00,1.55236,-0.08,FINAL,-503.12,0.0,2,True,0.045,0.09
1,1000034,1,AUD_CHF,buy,7.01,2016-06-02 00:00:00+00:00,0.71629,0.7097407142857143,0.006549,2016-06-02 07:30:00+00:00,0.71258,-0.57,FINAL,-2600.71,0.0,2,True,0.267,0.58
1,1000044,1,EUR_CAD,sell,2.09,2016-06-03 00:00:00+00:00,1.46041,1.4723207142857144,0.011911,2016-06-03 19:30:00+00:00,1.46954,-0.77,FINAL,-1908.17,0.0,3,True,0.192,0.849
1,1000051,1,EUR_USD,buy,0.32,2016-06-03 12:30:00+00:00,1.126146,1.1081101450950959,0.018036,2016-06-03 19:30:00+00:00,1.13529,0.51,PARTIAL/TP,292.61,0.0,3,True,,
1,1000051,2,EUR_USD,buy,0.73,2016-06-03 12:30:00+00:00,1.126146,1.1081101450950959,0.018036,2016-06-05 21:00:00+00:00,1.13676,0.59,FINAL,774.82,0.0,5,True,0.624,0.018
1,1000052,1,GBP_USD,buy,0.23,2016-06-03 12:30:00+00:00,1.45185,1.426846055834261,0.025004,2016-06-03 19:30:00+00:00,1.45179,-0.0,PARTIAL/TP,-1.38,0.0,3,True,,
1,1000052,2,GBP_USD,buy,0.53,2016-06-03 12:30:00+00:00,1.45185,1.426846055834261,0.025004,2016-06-05 21:00:00+00:00,1.44706,-0.19,FINAL,-253.87,0.0,5,True,0.254,0.243
1,1000053,1,USD_JPY,sell,0.2,2016-06-03 04:15:00+00:00,108.5982,111.73690520964793,3.138705,2016-06-03 19:30:00+00:00,106.642,0.62,PARTIAL/TP,391.24,0.0,3,True,,
1,1000053,2,USD_JPY,sell,0.17,2016-06-03 04:15:00+00:00,108.5982,111.73690520964793,3.138705,2016-06-03 20:00:00+00:00,106.56629161372885,0.65,PARTIAL/TP,345.42,0.0,3,True,,
1,1000053,3,USD_JPY,sell,0.29000000000000004,2016-06-03 04:15:00+00:00,108.5982,111.73690520964793,3.138705,2016-06-06 21:00:00+00:00,107.576,0.33,FINAL,296.44,0.0,6,False,0.708,0.136
1,1000054,1,USD_CHF,sell,0.4,2016-06-03 12:30:00+00:00,0.9839009999999999,0.9978889077383736,0.013988,2016-06-03 19:30:00+00:00,0.97634,0.54,PARTIAL/TP,302.44,0.0,3,True,,
1,1000054,2,USD_CHF,sell,0.9400000000000001,2016-06-03 12:30:00+00:00,0.9839009999999999,0.9978889077383736,0.013988,2016-06-05 21:00:00+00:00,0.97613,0.56,FINAL,730.47,0.0,5,True,0.613,0.091
1,1000055,1,USD_CAD,sell,0.38,2016-06-03 12:30:00+00:00,1.3049444999999997,1.3246249901880087,0.01968,2016-06-03 19:30:00+00:00,1.29441,0.54,PARTIAL/TP,400.31,0.0,3,True,,
1,1000055,2,USD_CAD,sell,0.44,2016-06-03 12:30:00+00:00,1.3049444999999997,1.3246249901880087,0.01968,2016-06-05 21:00:00+00:00,1.29525,0.49,PARTIAL/TP,426.56,0.0,5,True,,
1,1000055,3,USD_CAD,sell,0.32,2016-06-03 12:30:00+00:00,1.3049444999999997,1.3246249901880087,0.01968,2016-06-06 12:00:00+00:00,1.292234681377794,0.65,PARTIAL/TP,406.71,0.0,6,False,,
1,1000055,4,USD_CAD,sell,0.12,2016-06-03 12:30:00+00:00,1.3049444999999997,1.3246249901880087,0.01968,2016-06-08 11:00:00+00:00,1.2686780931521835,1.84,FINAL,435.2,0.0,8,False,1.929,0.0
1,1000056,1,AUD_USD,buy,0.4,2016-06-03 12:30:00+00:00,0.7284029999999999,0.7141106505430214,0.014292,2016-06-03 19:30:00+00:00,0.73656,0.57,PARTIAL/TP,326.28,0.0,3,True,,
1,1000056,2,AUD_USD,buy,0.93,2016-06-03 12:30:00+00:00,0.7284029999999999,0.7141106505430214,0.014292,2016-06-05 21:00:00+00:00,0.73669,0.58,FINAL,770.69,0.0,5,True,0.614,0.0
1,1000057,1,NZD_USD,buy,0.43,2016-06-03 04:00:00+00:00,0.683065,0.6638055381634276,0.019259,2016-06-03 18:45:00+00:00,0.6955011501937721,0.65,PARTIAL/TP,534.75,0.0,3,True,,
1,1000057,2,NZD_USD,buy,1.03,2016-06-03 04:00:00+00:00,0.683065,0.6638055381634276,0.019259,2016-06-23 05:00:00+00:00,0.718552504397659,1.84,PARTIAL/TP,3655.21,0.0,23,False,,
1,1000057,3,NZD_USD,buy,0.25,2016-06-03 04:00:00+00:00,0.683065,0.6638055381634276,0.019259,2016-06-23 21:00:00+00:00,0.72792,2.33,FINAL,1121.37,0.0,23,False,2.457,0.041
1,1000058,1,EUR_GBP,buy,0.23,2016-06-03 07:30:00+00:00,0.7720985,0.7552343849873282,0.016864,2016-06-03 19:30:00+00:00,0.782,0.59,PARTIAL/TP,227.73,0.0,3,True,,
1,1000058,2,EUR_GBP,buy,0.55,2016-06-03 07:30:00+00:00,0.7720985,0.7552343849873282,0.016864,2016-06-05 21:00:00+00:00,0.78572,0.81,FINAL,749.18,0.0,5,True,0.83,0.001
1,1000060,1,EUR_CHF,buy,0.9,2016-06-03 12:45:00+00:00,1.1070775000000002,1.1007616212380897,0.006316,2016-06-03 19:30:00+00:00,1.10848,0.22,PARTIAL/TP,126.22,0.0,3,True,,
1,1000060,2,EUR_CHF,buy,1.05,2016-06-03 12:45:00+00:00,1.1070775000000002,1.1007616212380897,0.006316,2016-06-05 21:00:00+00:00,1.10934,0.36,PARTIAL/TP,237.56,0.0,5,True,,
