ticket,symbol,type,volume,open_price,close_price,open_time,close_time,pnl,swap,sl,tp,partial
1000001_partial_1420214400,GBP_USD,sell,0.03,1.5552698399999998,1.5387223323001733,2015-01-02 01:15:00+00:00,2015-01-02 16:00:00+00:00,49.642523099479476,0.0,1.5737615152220295,0,True
1000011,GBP_JPY,buy,0.21,186.739,184.575,2015-01-02 00:00:00+00:00,2015-01-02 19:30:00+00:00,-454.44000000000324,0.0,184.2558592092439,0,
1000004_partial_1420227000,AUD_USD,sell,0.17,0.81692268,0.81107,2015-01-02 00:45:00+00:00,2015-01-02 19:30:00+00:00,99.49556000000092,0.0,0.8254962415990086,0,True
1000005_partial_1420227000,NZD_USD,sell,0.2,0.77812804,0.7703,2015-01-02 01:15:00+00:00,2015-01-02 19:30:00+00:00,156.5608000000007,0.0,0.7881121658705623,0,True
1000003_partial_1420227000,USD_CAD,buy,0.2,1.16450344,1.17538,2015-01-02 04:15:00+00:00,2015-01-02 19:30:00+00:00,217.53120000000072,0.0,1.1523778922166406,0,True
1000012_partial_1420227000,GBP_CAD,buy,0.1,1.7996062800000001,1.80238,2015-01-02 11:15:00+00:00,2015-01-02 19:30:00+00:00,27.7371999999998,0.0,1.7753837133970607,0,True
1000017_partial_1420227000,NZD_CAD,buy,0.23,0.9004867200000001,0.90538,2015-01-02 12:00:00+00:00,2015-01-02 19:30:00+00:00,112.54543999999744,0.0,0.8913130140651302,0,True
1000003_partial_1420227000,USD_CAD,buy,0.07,1.16450344,1.1753214330050235,2015-01-02 04:15:00+00:00,2015-01-02 19:30:00+00:00,75.72595103516377,0.0,1.1523778922166406,0,True
1000004_partial_1420234200,AUD_USD,sell,0.06,0.81692268,0.8093014745608923,2015-01-02 00:45:00+00:00,2015-01-02 21:30:00+00:00,45.727232634646285,0.0,0.8254962415990086,0,True
1000005_partial_1420408800,NZD_USD,sell,0.07,0.77812804,0.7692373267164939,2015-01-02 01:15:00+00:00,2015-01-04 22:00:00+00:00,62.23499298454272,0.0,0.7881121658705623,0,True
1000001_partial_1420460100,GBP_USD,sell,0.09,1.5552698399999998,1.5239689921225497,2015-01-02 01:15:00+00:00,2015-01-05 12:15:00+00:00,281.70763089705116,0.0,1.551631504955594,0,True
1000017_partial_1420474500,NZD_CAD,buy,0.08,0.9004867200000001,0.908743055341383,2015-01-02 12:00:00+00:00,2015-01-05 16:15:00+00:00,66.0506827310634,0.0,0.8913130140651302,0,True
1000004,AUD_USD,sell,0.33,0.81692268,0.8153179676801983,2015-01-02 00:45:00+00:00,2015-01-06 06:30:00+00:00,52.95550655345771,0.0,0.8152679676801983,0,
1000005,NZD_USD,sell,0.41000000000000003,0.77812804,0.7762412148258876,2015-01-02 01:15:00+00:00,2015-01-06 14:45:00+00:00,77.35983213860955,0.0,0.7761912148258876,0,
1000028_partial_1420557300,AUD_NZD,sell,0.05,1.05398,1.04512795937966,2015-01-05 00:00:00+00:00,2015-01-06 15:15:00+00:00,44.260203101699204,0.0,1.0638156006892663,0,True
1000017_partial_1420559100,NZD_CAD,buy,0.27,0.9004867200000001,0.9160820200892789,2015-01-02 12:00:00+00:00,2015-01-06 15:45:00+00:00,421.0731024105272,0.0,0.9023214611869741,0,True
1000003_partial_1420620300,USD_CAD,buy,0.23,1.16450344,1.1849818712317108,2015-01-02 04:15:00+00:00,2015-01-07 08:45:00+00:00,471.003918329348,0.0,1.1668685495566717,0,True
1000001_partial_1420638300,GBP_USD,sell,0.04,1.5552698399999998,1.511059819467129,2015-01-02 01:15:00+00:00,2015-01-07 13:45:00+00:00,176.84008213148329,0.0,1.5424106673445792,0,True
1000028_partial_1420656300,AUD_NZD,sell,0.17,1.05398,1.037259478828247,2015-01-05 00:00:00+00:00,2015-01-07 18:45:00+00:00,284.2488599197999,0.0,1.0520128798621466,0,True
1000017_partial_1420695900,NZD_CAD,buy,0.12,0.9004867200000001,0.9225036142436878,2015-01-02 12:00:00+00:00,2015-01-08 05:45:00+00:00,264.20273092425225,0.0,0.906908314154409,0,True
1000036,AUD_CAD,sell,0.66,0.95600992,0.9682521852767402,2015-01-06 02:30:00+00:00,2015-01-09 13:45:00+00:00,-807.9895082648543,0.0,0.9682021852767402,0,
1000028,AUD_NZD,sell,0.27,1.05398,1.0471450795175137,2015-01-05 00:00:00+00:00,2015-01-09 14:30:00+00:00,184.54285302712847,0.0,1.0470950795175136,0,
1000001,GBP_USD,sell,0.11000000000000001,1.5552698399999998,1.51172,2015-01-02 01:15:00+00:00,2015-01-09 14:45:00+00:00,479.0482399999983,0.0,1.5258131596447526,0,
1000003,USD_CAD,buy,0.16,1.16450344,1.18696,2015-01-02 04:15:00+00:00,2015-01-09 14:45:00+00:00,359.30495999999926,0.0,1.1729063234483514,0,
1000012,GBP_CAD,buy,0.24000000000000002,1.7996062800000001,1.79436,2015-01-02 11:15:00+00:00,2015-01-09 14:45:00+00:00,-125.9107200000038,0.0,1.7753837133970607,0,
1000017,NZD_CAD,buy,0.07,0.9004867200000001,0.92484,2015-01-02 12:00:00+00:00,2015-01-09 14:45:00+00:00,170.47295999999946,0.0,0.9151646494957919,0,
1000037,AUD_NZD,sell,0.98,1.05439408,1.04875,2015-01-05 01:00:00+00:00,2015-01-09 14:45:00+00:00,553.1198399999942,0.0,1.0637983392038253,0,
1000038,CAD_JPY,buy,0.25,101.492096,100.386,2015-01-05 14:45:00+00:00,2015-01-09 14:45:00+00:00,-276.524000000002,0.0,99.57625191577425,0,
1000056,AUD_NZD,sell,0.14,1.04809,1.0558010713109116,2015-01-12 01:45:00+00:00,2015-01-13 16:30:00+00:00,-107.95499835276301,0.0,1.0557510713109115,0,
1000054_partial_1421174700,AUD_JPY,sell,0.06,97.212,95.96930067318915,2015-01-12 00:00:00+00:00,2015-01-13 18:45:00+00:00,74.56195960865102,0.0,98.59277702978984,0,True
1000054_partial_1421212500,AUD_JPY,sell,0.22,97.212,94.86467904935728,2015-01-12 00:00:00+00:00,2015-01-14 05:15:00+00:00,516.4106091413995,0.0,96.93584459404204,0,True
1000052_partial_1421217900,GBP_CAD,buy,0.04,1.79660508,1.8195975251683314,2015-01-12 03:45:00+00:00,2015-01-14 06:45:00+00:00,91.96978067332573,0.0,1.7710579187018538,0,True
1000054,AUD_JPY,sell,0.3500000000000001,97.212,96.25045607914711,2015-01-12 00:00:00+00:00,2015-01-15 00:30:00+00:00,336.5403722985115,0.0,96.24545607914712,0,
1000048_partial_1421320500,EUR_CAD,sell,0.05,1.41185684,1.3976734788349767,2015-01-12 16:45:00+00:00,2015-01-15 11:15:00+00:00,70.91680582511638,0.0,1.4276161301833592,0,True
1000043,AUD_USD,sell,0.72,0.81557,0.8266137781676075,2015-01-12 10:00:00+00:00,2015-01-15 12:30:00+00:00,-795.1520280677391,0.0,0.8265637781676075,0,
1000052,GBP_CAD,buy,0.31000000000000005,1.79660508,1.801664512259629,2015-01-12 03:45:00+00:00,2015-01-15 12:30:00+00:00,156.84240004850292,0.0,1.8017145122596292,0,
1000048_partial_1421327700,EUR_CAD,sell,0.18,1.41185684,1.3850660466882894,2015-01-12 16:45:00+00:00,2015-01-15 13:15:00+00:00,482.23427961079153,0.0,1.4087049819633282,0,True
1000044,NZD_USD,sell,0.62,0.77817,0.78236,2015-01-12 09:30:00+00:00,2015-01-15 21:30:00+00:00,-259.7800000000017,0.0,0.7899416444893183,0,
