ticket,symbol,type,volume,open_price,close_price,open_time,close_time,pnl,swap,sl,tp,partial,mfe_r,mae_r
1000001_partial_1735814700,GBP_USD,sell,0.67,1.2533400000000001,1.2461873405668085,2025-01-02 03:00:00+00:00,2025-01-02 10:45:00+00:00,479.2281820238409,0.0,1.2646487068202947,0,True,,
1000013_partial_1735822800,GBP_CAD,sell,0.59,1.801318,1.7899371452885333,2025-01-02 03:30:00+00:00,2025-01-02 13:00:00+00:00,671.4704279765328,0.0,1.819969314940718,0,True,,
1000006_partial_1735835400,EUR_GBP,sell,1.28,0.831574,0.8287166785714286,2025-01-02 13:15:00+00:00,2025-01-02 16:30:00+00:00,365.7371428571423,0.0,0.8364775714285715,0,True,,
1000015,AUD_CHF,sell,6.32,0.56185,0.56548,2025-01-02 00:00:00+00:00,2025-01-02 22:00:00+00:00,-2294.160000000014,0.0,0.5679425285029366,0,,0.1,0.829
1000016,AUD_CAD,sell,7.7700000000000005,0.8932,0.8929,2025-01-02 02:45:00+00:00,2025-01-02 22:00:00+00:00,233.09999999997433,0.0,0.9014496702812764,0,,0.075,0.485
1000017,AUD_NZD,buy,9.44,1.107501,1.1082,2025-01-02 05:45:00+00:00,2025-01-02 22:00:00+00:00,659.8560000000049,0.0,1.0990934023705594,0,,0.19,0.219
1000007,EUR_JPY,buy,1.04,162.5087,161.621,2025-01-02 06:30:00+00:00,2025-01-02 22:00:00+00:00,-923.2079999999951,0.0,158.97171439424486,0,,0.026,0.456
1000014,AUD_JPY,buy,3.75,97.1708,97.618,2025-01-02 07:45:00+00:00,2025-01-02 22:00:00+00:00,1676.9999999999818,0.0,95.31479224506738,0,,0.468,0.062
1000010,EUR_NZD,buy,2.89,1.8354300000000001,1.8348,2025-01-02 15:15:00+00:00,2025-01-02 22:00:00+00:00,-182.0700000000377,0.0,1.8080967035415696,0,,0.032,0.271
1000018,NZD_CHF,sell,4.21,0.51024,0.51024,2025-01-02 15:15:00+00:00,2025-01-02 22:00:00+00:00,0.0,0.0,0.5198234083162362,0,,0.048,0.109
1000001,GBP_USD,sell,2.0100000000000002,1.2533400000000001,1.23792,2025-01-02 03:00:00+00:00,2025-01-02 22:00:00+00:00,3099.4200000000424,0.0,1.2545788706820296,0,,1.603,0.065
1000013,GBP_CAD,sell,1.7800000000000002,1.801318,1.78312,2025-01-02 03:30:00+00:00,2025-01-02 22:00:00+00:00,3239.2439999999892,0.0,1.8035881314940718,0,,1.11,0.145
1000006,EUR_GBP,sell,3.8599999999999994,0.831574,0.82905,2025-01-02 13:15:00+00:00,2025-01-02 22:00:00+00:00,974.2640000000314,0.0,0.8322443571428572,0,,0.81,0.197
1000037,AUD_CAD,sell,8.4,0.893695,0.8985,2025-01-03 00:15:00+00:00,2025-01-03 19:30:00+00:00,-4036.199999999956,0.0,0.9014729081183281,0,,0.075,0.66
1000034_partial_1735932600,GBP_NZD,buy,0.99,2.2130400000000003,2.21577,2025-01-03 00:00:00+00:00,2025-01-03 19:30:00+00:00,270.26999999996804,0.0,2.196977142857143,0,True,,
1000030_partial_1735932600,EUR_NZD,buy,0.83,1.83731,1.83683,2025-01-03 08:15:00+00:00,2025-01-03 19:30:00+00:00,-39.84000000000298,0.0,1.8082533675743147,0,True,,
1000038_partial_1735932600,AUD_NZD,buy,2.75,1.10794,1.1085,2025-01-03 14:45:00+00:00,2025-01-03 19:30:00+00:00,154.0000000000319,0.0,1.0991313022012337,0,True,,
1000034,GBP_NZD,buy,2.3200000000000003,2.2130400000000003,2.21412,2025-01-03 00:00:00+00:00,2025-01-05 22:00:00+00:00,250.55999999989,0.0,2.196977142857143,0,,0.213,0.26
1000030,EUR_NZD,buy,1.9300000000000002,1.83731,1.83612,2025-01-03 08:15:00+00:00,2025-01-05 22:00:00+00:00,-229.67000000000473,0.0,1.8082533675743147,0,,0.038,0.081
1000038,AUD_NZD,buy,6.4,1.10794,1.10666,2025-01-03 14:45:00+00:00,2025-01-05 22:00:00+00:00,-819.1999999999666,0.0,1.0991313022012337,0,,0.082,0.182
1000057,EUR_NZD,buy,2.82,1.8362100000000001,1.8411,2025-01-06 02:00:00+00:00,2025-01-06 22:00:00+00:00,1378.9799999999543,0.0,1.8081920556047206,0,,0.264,0.136
1000050,AUD_USD,sell,3.62,0.62445,0.62441,2025-01-06 08:45:00+00:00,2025-01-06 22:00:00+00:00,14.479999999974291,0.0,0.6366550111736867,0,,0.084,0.473
1000049,USD_CHF,buy,0.14,0.90472,0.90467,2025-01-06 11:00:00+00:00,2025-01-06 22:00:00+00:00,-0.699999999999923,0.0,0.8892468667368238,0,,0.132,0.251
1000080,AUD_USD,sell,4.05,0.6254759999999999,0.62441,2025-01-06 11:00:00+00:00,2025-01-06 22:00:00+00:00,431.7299999999596,0.0,0.6365027043408934,0,,0.183,0.43
1000046,EUR_USD,sell,5.42,1.03889,1.03919,2025-01-06 11:15:00+00:00,2025-01-06 22:00:00+00:00,-162.5999999999821,0.0,1.047092142857143,0,,0.444,0.586
1000047,GBP_USD,sell,2.92,1.2519200000000001,1.25159,2025-01-06 11:15:00+00:00,2025-01-06 22:00:00+00:00,96.36000000004773,0.0,1.2623935714285714,0,,0.486,0.304
1000051,NZD_USD,sell,3.85,0.56655,0.56444,2025-01-06 11:15:00+00:00,2025-01-06 22:00:00+00:00,812.3499999999789,0.0,0.578052665546892,0,,0.297,0.168
1000076,EUR_USD,sell,4.7700000000000005,1.0395720000000002,1.03919,2025-01-06 11:15:00+00:00,2025-01-06 22:00:00+00:00,182.21400000004985,0.0,1.0489485833656633,0,,0.461,0.44
1000077,GBP_USD,sell,3.99,1.2533400000000001,1.25159,2025-01-06 11:15:00+00:00,2025-01-06 22:00:00+00:00,698.250000000056,0.0,1.2645412277617023,0,,0.581,0.157
1000079,USD_CHF,buy,2.88,0.9034695,0.90467,2025-01-06 11:15:00+00:00,2025-01-06 22:00:00+00:00,345.74399999998207,0.0,0.889376241101195,0,,0.233,0.187
1000081,NZD_USD,sell,3.92,0.56655,0.56444,2025-01-06 11:15:00+00:00,2025-01-06 22:00:00+00:00,827.1199999999785,0.0,0.5779536398197299,0,,0.3,0.169
1000055,EUR_AUD,buy,3.62,1.66405,1.66454,2025-01-06 15:45:00+00:00,2025-01-06 22:00:00+00:00,177.37999999995637,0.0,1.6441603712265378,0,,0.063,0.052
1000062,GBP_NZD,buy,2.82,2.2192499999999997,2.21765,2025-01-06 16:00:00+00:00,2025-01-06 22:00:00+00:00,-451.1999999999503,0.0,2.199758624408856,0,,0.074,0.082
1000069,EUR_AUD,buy,3.45,1.6653120000000001,1.66454,2025-01-06 16:00:00+00:00,2025-01-06 22:00:00+00:00,-266.3400000000749,0.0,1.644217707474733,0,,0.0,0.109
1000065,AUD_CAD,sell,9.86,0.89492,0.89483,2025-01-06 19:45:00+00:00,2025-01-06 22:00:00+00:00,88.74000000003402,0.0,0.9015369861098761,0,,0.07,0.054
1000053_partial_1736200800,EUR_JPY,buy,1.48,162.386,163.814,2025-01-06 00:00:00+00:00,2025-01-06 22:00:00+00:00,2113.439999999996,0.0,158.9813455746295,0,True,,
1000067_partial_1736200800,EUR_JPY,buy,1.65,162.395,163.814,2025-01-06 01:00:00+00:00,2025-01-06 22:00:00+00:00,2341.3499999999713,0.0,158.99944908037023,0,True,,
1000066_partial_1736200800,EUR_GBP,sell,4.09,0.831574,0.83024,2025-01-06 13:15:00+00:00,2025-01-06 22:00:00+00:00,545.6060000000235,0.0,0.8362832857142858,0,True,,
1000075_partial_1736200800,NZD_CAD,sell,3.61,0.812857,0.80912,2025-01-06 13:15:00+00:00,2025-01-06 22:00:00+00:00,1349.0570000000366,0.0,0.8262783778905821,0,True,,
1000053,EUR_JPY,buy,0.49,162.386,163.894,2025-01-06 00:00:00+00:00,2025-01-07 08:00:00+00:00,738.9200000000047,0.0,158.9813455746295,0,,0.591,0.023
1000067,EUR_JPY,buy,0.5500000000000003,162.395,163.894,2025-01-06 01:00:00+00:00,2025-01-07 08:00:00+00:00,824.4499999999978,0.0,158.99944908037023,0,,0.59,0.013
1000066,EUR_GBP,sell,1.37,0.831574,0.8302,2025-01-06 13:15:00+00:00,2025-01-07 08:00:00+00:00,188.23799999999815,0.0,0.8362832857142858,0,,0.53,0.044
1000075,NZD_CAD,sell,1.2000000000000006,0.812857,0.81258,2025-01-06 13:15:00+00:00,2025-01-07 08:00:00+00:00,33.24000000000994,0.0,0.8262783778905821,0,,0.365,0.028
1000092,AUD_CAD,sell,7.42,0.89494,0.89776,2025-01-07 00:00:00+00:00,2025-01-07 08:00:00+00:00,-2092.4400000000333,0.0,0.9041120468244793,0,,0.009,0.349
1000094,NZD_CHF,sell,4.51,0.51057,0.51356,2025-01-07 00:00:00+00:00,2025-01-07 08:00:00+00:00,-1348.4900000000218,0.0,0.5197708994427008,0,,0.01,0.363
