date,day_start_equity,day_end_equity,day_low_equity,day_high_equity,realized_pnl,floating_pnl,max_ddd_pct,tdd_pct,ddd_halt_triggered
2023-01-01,20000.0,20000.0,20000.0,20000.0,0.0,0.0,0.0,0,False
2023-01-02,20000.0,21761.745396373288,20000.0,20819.242732561026,1710.356743058128,51.3886533151599,0.0,0,False
2023-01-03,21761.745396373288,22685.576858042084,21576.210832336386,22946.312346401504,781.6920192739926,142.13944239480406,0.8525720738733656,0,False
2023-01-04,22685.576858042084,22600.111273469058,22344.866789206946,23363.42646895237,193.81260974708493,-279.27819432011165,1.5018796787367386,0,False
2023-01-05,22600.111273469058,23261.32061092454,22540.362987482873,23343.056646890847,736.7449893207122,-75.53565186522974,0.2643716451800176,0,False
2023-01-06,23261.32061092454,24035.552408266012,23117.606285540653,24167.73484084471,884.9489701275816,-110.71717278610959,0.6178253066010063,0,False
2023-01-07,24035.552408266012,24034.864493669786,24035.552408266012,24035.552408266012,110.71717278610959,-111.4050873823362,0.0,0,False
2023-01-08,24034.864493669786,24022.8094418684,24034.864493669786,24034.864493669786,111.4050873823362,-123.46013918372046,0.0,0,False
2023-01-09,24022.8094418684,25608.33380853194,23845.350559251634,25785.280721279636,1551.1008166660395,34.42354999750023,0.7387099458378974,0,False
2023-01-10,25608.33380853194,25980.350152565406,25453.405678868556,26102.635609607383,356.4277665471309,15.588577486334543,0.6049910580741018,0,False
2023-01-11,25980.350152565406,26997.531875419474,25906.73761799245,27032.666020325676,927.2373502204246,89.94437263364307,0.2833392704127479,0,False
2023-01-12,26997.531875419474,28460.462691656547,26884.652635924434,28491.727349828212,1347.804034893139,115.12678134393354,0.41810947762159384,0,False
2023-01-13,28460.462691656547,29635.23893171588,28382.68711991907,29679.013098865566,1121.412487525129,53.36375253420556,0.2732758514157224,0,False
2023-01-14,29635.23893171588,29689.89966813456,29635.23893171588,29635.23893171588,-53.36375253420556,108.02448895288398,0.0,0,False
2023-01-15,29689.89966813456,29744.869489314842,29689.89966813456,29689.89966813456,-108.02448895288398,162.99431013316644,0.0,0,False
2023-01-16,29744.869489314842,30761.703294962066,29621.371816064046,30871.416019210646,753.7884144090021,263.0453912382218,0.4151898306199001,0,False
2023-01-17,30761.703294962066,31376.449766991704,30594.786868110317,31462.439697457412,588.6035863645993,26.142885665038193,0.5426111332368427,0,False
2023-01-18,31376.449766991704,32200.337342845978,30874.103015082626,32047.333156070552,422.3248677650845,401.56270808919,1.6010312053773221,0,False
