trial,breached,objective,maximin,avg_net,worst_tdd,n_survived,fail_window,RISK_CALM_MULT,RISK_VOLATILE_MULT,VOL_REGIME_DD_OFF,CFG_MAX_CUM_RISK,CFG_DAILY_HALT_PCT,CFG_TDD_CAUTION_PCT,CFG_RISK_CAUTIOUS,CFG_TDD_WARNING_PCT,CFG_RISK_CONSERVATIVE,CFG_TDD_EMERGENCY_PCT,CFG_RISK_ULTRASAFE,TDD_WALL_SAFETY,net_w0,net_w1,net_w2,net_w3,net_w4
34,False,1211.0,1211,87452,6.26,5,,1.1,0.55,3.0,3.5,1.5,3.0,0.6000000000000001,5.5,0.45000000000000007,6.5,0.1,4.5,55754,41581,185162,1211,153552
37,True,-998000000.0,,,,2,2,1.4500000000000002,1.0,4.0,4.5,3.25,3.0,0.55,5.5,0.45000000000000007,6.5,0.1,3.5,301003,79024,,,
38,True,-998000000.0,,,,2,2,1.35,0.45,4.0,4.5,1.75,4.0,0.2,5.5,0.15,6.5,0.1,5.0,157343,65674,,,
35,False,-7.0,51835,173932,9.61,5,,1.5,1.35,4.0,4.5,3.25,3.5,0.5,5.5,0.45000000000000007,6.5,0.1,3.5,468265,51835,79273,76070,194219
39,True,-999000000.0,,,,1,1,1.3,0.7000000000000001,3.0,4.5,2.5,4.5,0.25,5.5,0.25,6.5,0.15000000000000002,5.0,193803,,,,
40,True,-999000000.0,,,,1,1,1.35,1.0,2.5,5.0,2.5,3.0,0.45,4.5,0.4,5.5,0.15000000000000002,3.5,529695,,,,
41,False,-23190.0,13260,174963,9.35,5,,1.1,1.1,3.0,4.5,2.75,4.0,0.6000000000000001,5.0,0.4,6.0,0.2,3.5,361945,352458,72214,13260,74940
42,False,-2213.0,39837,170466,9.45,5,,1.15,0.7000000000000001,3.5,4.5,2.5,3.0,0.35000000000000003,4.5,0.25,5.5,0.15000000000000002,4.0,375123,39837,189618,51162,196589
43,False,-54363.0,24839,160733,9.99,5,,1.3,0.75,2.0,4.5,1.75,4.5,0.25,5.5,0.25,8.0,0.15000000000000002,5.0,225054,99911,221602,24839,232261
44,False,-16655.0,15603,74853,9.27,5,,1.0,1.0,5.0,4.0,1.75,3.0,0.7,3.5,0.55,4.5,0.25,4.0,237034,34858,52404,34368,15603
47,True,-997000000.0,,,,3,3,0.9,0.9500000000000001,5.0,4.0,1.5,3.5,0.7,4.0,0.55,4.5,0.25,5.0,130220,49527,156279,,
45,False,30529.0,30529,155689,6.9,5,,0.9,0.9,4.5,4.5,2.0,3.5,0.6000000000000001,4.5,0.55,5.0,0.25,5.0,443018,51542,178067,30529,75288
46,False,11520.0,31922,136713,9.01,5,,0.9,1.0,5.0,4.5,2.25,3.0,0.8,4.0,0.55,4.5,0.25,5.0,300062,69426,231266,31922,50888
55,False,72467.0,72467,114118,7.92,5,,1.05,0.4,3.5,4.0,2.25,4.0,0.75,5.0,0.6,8.0,0.35,4.5,109423,72467,198530,74070,116099
53,False,34714.0,34714,114998,7.29,5,,1.2000000000000002,0.65,4.0,4.0,2.0,3.0,0.65,4.0,0.6,5.0,0.35,5.0,74377,140050,180868,34714,144980
52,False,13886.0,13886,104125,4.5,5,,0.95,0.5,4.5,4.0,1.75,3.0,0.6000000000000001,4.0,0.6,5.0,0.35,5.0,154398,31183,179652,13886,141505
54,False,13975.0,13975,135994,7.08,5,,1.2000000000000002,0.65,4.0,4.0,2.0,4.0,0.5,5.0,0.45000000000000007,8.0,0.35,4.5,190245,72742,180868,13975,222140
57,False,27606.0,27606,87092,6.89,5,,0.8,0.5,4.5,4.5,2.75,4.5,0.8,5.5,0.6,8.0,0.35,3.5,148915,27606,117629,34897,106412
56,False,12721.0,12721,71092,6.47,5,,1.0,0.7000000000000001,3.5,3.0,2.75,3.5,0.8,5.0,0.6,8.0,0.35,5.0,73733,45646,147327,12721,76035
58,False,30698.0,30698,94121,7.04,5,,0.7,0.7000000000000001,3.5,4.0,2.25,5.0,0.75,6.0,0.6,8.0,0.4,5.0,147477,30698,109222,72261,110948
59,False,46970.0,46970,183745,7.24,5,,1.05,0.55,4.0,4.5,2.5,4.5,0.75,5.5,0.6,8.0,0.4,5.0,303139,48379,291079,46970,229159
62,True,-999000000.0,,,,1,1,1.25,0.55,3.0,3.5,1.75,4.0,0.2,5.0,0.15,8.0,0.1,5.0,150090,,,,
63,True,-998000000.0,,,,2,2,1.4,0.4,4.5,3.5,2.25,4.0,0.7,5.0,0.5,8.5,0.30000000000000004,4.0,110654,30092,,,
61,True,-996000000.0,,,,4,4,1.2000000000000002,0.4,4.0,4.5,2.0,4.5,0.8,5.5,0.55,8.0,0.30000000000000004,4.0,299521,35203,182497,80393,
60,False,17187.0,17187,90865,6.61,5,,1.25,0.5,2.5,3.5,2.0,4.0,0.2,5.0,0.15,8.0,0.1,5.0,78866,73054,136084,17187,149136
64,False,110319.0,115937,271844,8.53,5,,1.35,1.15,4.5,4.5,3.0,3.0,0.25,4.5,0.25,5.5,0.25,3.5,361983,141714,449496,115937,290091
65,False,2714.0,2714,77533,5.78,5,,1.1,0.55,3.0,3.5,2.0,4.5,0.8,5.5,0.5,7.5,0.30000000000000004,4.5,147290,42069,79540,2714,116053
67,True,-997000000.0,,,,3,3,1.2000000000000002,0.4,5.0,5.0,2.0,3.5,0.7,4.5,0.5,5.5,0.30000000000000004,5.0,191716,69579,228104,,
66,False,-9839.0,11379,191575,9.03,5,,1.15,1.5,4.0,5.0,2.75,3.0,0.4,4.5,0.35,5.5,0.30000000000000004,4.5,463089,171170,233562,11379,78677
