trial,breached,objective,maximin,avg_net,worst_tdd,n_survived,fail_window,RISK_CALM_MULT,RISK_VOLATILE_MULT,VOL_REGIME_DD_OFF,CFG_MAX_CUM_RISK,CFG_DAILY_HALT_PCT,CFG_TDD_CAUTION_PCT,CFG_RISK_CAUTIOUS,CFG_TDD_WARNING_PCT,CFG_RISK_CONSERVATIVE,CFG_TDD_EMERGENCY_PCT,CFG_RISK_ULTRASAFE,TDD_WALL_SAFETY,net_w0,net_w1,net_w2,net_w3,net_w4
39,False,23667.0,24245,58078,8.17,5,,0.6,1.8,2.0,4.5,2.75,5.5,0.75,7.5,0.6,8.0,0.35,2.0,73818,24245,115201,29576,47550
42,False,10912.0,10912,39037,7.92,5,,0.55,1.75,2.5,4.0,2.75,5.5,0.4,7.5,0.35,8.0,0.30000000000000004,3.5,64642,10912,50508,18808,50313
2,True,-1000000000.0,,,,0,0,1.2,0.8,3.0,3.5,2.5,5.5,0.45,7.5,0.25,8.5,0.25,4.5,,,,,
1,True,-997000000.0,,,,3,3,0.8,1.2,3.0,3.5,2.5,5.5,0.45,7.5,0.25,8.5,0.25,4.5,31325,32024,49395,,
0,False,2783.0,2783,44746,7.8,5,,1.0,1.0,3.0,3.5,2.5,5.5,0.45,7.5,0.25,8.5,0.25,4.5,150896,13339,2783,31394,25316
3,True,-996000000.0,,,,4,4,1.4,1.35,2.5,3.5,2.0,4.5,0.30000000000000004,6.0,0.25,7.5,0.1,2.5,225755,27594,-4002,30675,
4,False,10523.0,10523,30495,6.99,5,,0.5,1.15,4.5,4.5,2.0,5.0,0.45,8.0,0.2,9.0,0.2,3.0,47612,10523,50016,15528,28795
5,False,3758.0,3758,24098,5.7,5,,0.5,0.65,4.5,3.0,2.0,5.5,0.75,6.0,0.35,8.0,0.1,2.0,34599,18856,30647,3758,32630
7,False,-37499.0,1143,31709,9.39,5,,1.4500000000000002,0.65,3.0,4.5,2.75,3.5,0.6000000000000001,4.5,0.15,7.0,0.15,2.5,41187,38529,39075,1143,38611
6,False,18277.0,18277,39712,6.63,5,,0.55,1.65,5.0,4.0,1.5,3.0,0.30000000000000004,8.0,0.2,8.5,0.15000000000000002,2.5,41677,25670,78925,18277,34012
8,False,-14775.0,-2293,50485,8.79,5,,1.25,0.65,3.0,4.0,3.0,3.5,0.75,4.0,0.45000000000000007,8.0,0.1,4.0,190697,31637,9016,-2293,23369
10,True,-997000000.0,,,,3,3,1.1,1.8,4.5,4.0,2.75,5.0,0.8,7.5,0.2,9.0,0.1,3.5,141934,1960,34919,,
11,True,-999000000.0,,,,1,1,1.0,0.9500000000000001,3.5,4.5,1.5,3.5,0.55,7.5,0.5,8.0,0.4,3.5,179859,,,,
9,False,338.0,338,34750,4.43,5,,0.5,1.75,2.0,4.0,2.75,5.0,0.45,5.5,0.45,8.5,0.1,4.0,32723,17802,338,12971,109918
12,False,32384.0,32384,37876,3.01,5,,0.5,1.5,3.5,4.5,3.25,4.0,0.65,6.0,0.55,6.5,0.1,4.0,32384,33009,45679,33268,45042
13,False,1701.0,1701,15323,5.18,5,,0.95,1.8,5.0,2.5,3.5,3.0,0.2,6.0,0.15,6.5,0.15,5.0,34156,11391,1701,14189,15178
16,True,-1000000000.0,,,,0,0,0.75,1.5500000000000003,5.0,5.0,3.5,3.0,0.2,6.5,0.15,7.0,0.15,5.0,,,,,
14,False,19256.0,19256,34723,7.39,5,,0.55,1.7000000000000002,5.0,5.0,1.5,4.5,0.2,8.0,0.15,9.0,0.15,3.0,34559,40154,45725,19256,33920
15,False,11813.0,11813,68862,6.05,5,,0.7,1.4500000000000002,5.0,5.0,1.5,3.0,0.2,8.0,0.15,9.0,0.15,3.0,132443,25758,11813,148051,26247
