trial,breached,objective,maximin,avg_net,worst_tdd,worst_ddd,n_survived,fail_window,RISK_CALM_MULT,RISK_VOLATILE_MULT,VOL_REGIME_DD_OFF,CFG_MAX_CUM_RISK,CFG_DAILY_HALT_PCT,CFG_TDD_CAUTION_PCT,CFG_RISK_CAUTIOUS,CFG_TDD_WARNING_PCT,CFG_RISK_CONSERVATIVE,CFG_TDD_EMERGENCY_PCT,CFG_RISK_ULTRASAFE,TDD_WALL_SAFETY,net_w0,net_w1,net_w2,net_w3,net_w4
120,True,-999000000.0,,,,,1,1,1.0699999999999998,0.6,3.0,5.0,3.5,3.0,0.7,3.5,0.6,4.5,0.4,5.0,184106,,,,
118,True,-997000000.0,,,,,3,3,1.06,0.95,5.0,4.0,2.0,3.0,0.75,8.0,0.6,8.5,0.4,4.0,180503,78116,188464,,
117,False,46783.0,46783,132056,5.21,3.68,5,,0.85,0.63,3.5,5.0,2.75,3.5,0.65,7.5,0.6,8.5,0.4,3.5,220440,51673,226098,46783,115284
121,True,-998000000.0,,,,,2,2,1.48,0.9199999999999999,4.0,4.0,1.5,6.0,0.55,7.0,0.5,8.5,0.4,3.0,289694,132118,,,
119,False,18415.0,18415,63232,8.0,3.83,5,,1.08,0.98,5.0,3.5,3.0,3.0,0.25,7.5,0.25,8.5,0.2,3.0,148490,18415,32804,44740,71712
124,True,-999000000.0,,,,,1,1,1.02,0.94,4.0,4.5,2.5,4.0,0.25,7.5,0.25,8.5,0.2,3.0,353802,,,,
123,True,-997000000.0,,,,,3,3,1.23,1.2,2.5,4.5,1.75,5.0,0.2,7.5,0.15,8.5,0.1,4.0,533231,30921,219686,,
122,False,104394.0,104394,288794,7.36,4.32,5,,1.19,1.22,3.0,4.5,1.25,4.0,0.45,7.0,0.4,8.5,0.4,3.5,466800,186049,449861,104394,236866
125,False,11700.0,11700,112727,7.45,3.57,5,,0.82,0.6,3.5,4.5,2.75,3.5,0.6000000000000001,8.0,0.6,8.5,0.4,3.0,181946,71655,182290,11700,116044
126,False,31674.0,31674,149695,5.72,3.96,5,,0.84,0.79,2.0,4.5,3.25,3.5,0.6000000000000001,7.0,0.6,8.5,0.4,4.5,299438,76039,117351,31674,223971
127,False,30057.0,30219,193647,8.09,3.92,5,,0.98,0.6,3.0,5.0,2.75,4.5,0.65,7.0,0.6,8.5,0.4,5.0,294022,31954,375387,30219,236653
128,False,30063.0,30063,138226,5.91,4.0,5,,0.9199999999999999,0.6799999999999999,3.5,5.0,2.75,3.0,0.65,6.5,0.4,8.5,0.4,3.0,192497,46566,231083,30063,190921
129,True,-996000000.0,,,,,4,4,1.13,1.22,2.5,3.5,1.25,3.5,0.25,6.5,0.25,8.5,0.25,3.5,229867,40575,377451,33253,
130,False,101926.0,101926,213520,7.39,3.96,5,,1.24,1.21,3.5,4.0,1.5,4.0,0.4,6.5,0.35,8.0,0.25,3.5,385699,181945,292952,101926,105076
133,True,-998000000.0,,,,,2,2,0.8899999999999999,1.17,2.5,4.0,2.0,3.0,0.45,3.5,0.4,4.5,0.4,3.5,237379,105530,,,
132,True,-997000000.0,,,,,3,3,1.31,1.25,2.5,4.5,1.25,4.5,0.4,6.5,0.4,8.0,0.4,4.0,446737,63165,373029,,
131,False,19357.0,31839,128322,8.79,4.03,5,,1.0699999999999998,1.3,3.5,4.5,1.25,4.5,0.45,6.5,0.4,8.0,0.4,4.5,235239,47566,177706,149262,31839
136,True,-999000000.0,,,,,1,1,1.2,1.23,3.0,4.5,1.25,3.5,0.30000000000000004,6.0,0.3,8.0,0.25,3.5,468181,,,,
137,True,-999000000.0,,,,,1,1,1.0699999999999998,1.29,3.5,4.0,1.5,3.0,0.5,6.0,0.35,7.5,0.25,3.5,141373,,,,
134,True,-998000000.0,,,,,2,2,1.35,1.02,4.0,3.5,1.5,4.5,0.45,6.5,0.35,8.0,0.25,3.5,115533,29102,,,
135,True,-998000000.0,,,,,2,2,1.2,1.07,4.0,4.5,1.25,4.5,0.55,6.5,0.35,8.0,0.25,3.5,153394,178734,,,
138,True,-999000000.0,,,,,1,1,1.18,1.12,3.5,4.5,1.25,4.0,0.6000000000000001,6.5,0.5,7.5,0.25,4.0,223169,,,,
139,True,-998000000.0,,,,,2,2,1.2999999999999998,1.1400000000000001,3.0,5.0,1.25,4.0,0.55,6.5,0.35,8.0,0.30000000000000004,3.0,360878,134987,,,
140,True,-996000000.0,,,,,4,4,1.02,1.08,3.5,4.0,1.5,4.0,0.5,5.0,0.45000000000000007,6.0,0.35,3.0,292263,152877,229528,26768,
142,True,-997000000.0,,,,,3,3,1.38,1.25,4.0,3.0,2.25,4.0,0.5,5.0,0.45000000000000007,6.0,0.35,3.0,112863,112128,235818,,
