symbol,trades,wins,win_rate,profit_r,profit_usd,avg_r_per_trade
AUD_JPY,57,35,61.4,42.6,14056.44,0.747
USD_JPY,53,35,66.0,41.13,13572.79,0.776
GBP_JPY,56,35,62.5,39.02,12875.92,0.697
USD_CHF,52,33,63.5,38.5,12705.47,0.74
SPX500_USD,71,39,54.9,37.13,12252.73,0.523
NAS100_USD,62,33,53.2,35.63,11758.74,0.575
XAU_USD,69,36,52.2,34.65,11433.56,0.502
EUR_USD,54,32,59.3,33.09,10918.07,0.613
CHF_JPY,51,30,58.8,29.91,9871.05,0.587
EUR_CAD,41,24,58.5,25.45,8397.44,0.621
EUR_NZD,63,33,52.4,25.04,8261.89,0.397
GBP_NZD,63,33,52.4,25.02,8257.36,0.397
BTC_USD,135,55,40.7,24.91,8221.11,0.185
GBP_CAD,53,30,56.6,23.81,7857.73,0.449
AUD_USD,60,33,55.0,23.35,7705.51,0.389
AUD_CAD,53,31,58.5,22.87,7546.16,0.431
XAG_USD,62,28,45.2,20.39,6728.7,0.329
GBP_AUD,51,27,52.9,19.18,6329.06,0.376
GBP_CHF,48,26,54.2,18.29,6034.51,0.381
ETH_USD,118,47,39.8,18.27,6030.12,0.155
USD_CAD,68,34,50.0,16.49,5441.18,0.242
AUD_CHF,34,19,55.9,14.92,4923.77,0.439
GBP_USD,51,24,47.1,14.4,4751.66,0.282
NZD_CHF,37,18,48.6,11.98,3954.15,0.324
EUR_JPY,58,27,46.6,11.51,3798.41,0.198
CAD_JPY,48,23,47.9,11.12,3670.17,0.232
NZD_USD,62,26,41.9,7.38,2434.52,0.119
AUD_NZD,53,21,39.6,2.69,886.24,0.051
EUR_AUD,55,20,36.4,-1.11,-367.86,-0.02
EUR_GBP,54,23,42.6,-1.26,-416.0,-0.023
EUR_CHF,57,23,40.4,-5.05,-1666.71,-0.089
NZD_JPY,56,19,33.9,-6.9,-2277.5,-0.123
CAD_CHF,41,13,31.7,-8.92,-2942.49,-0.217
NZD_CAD,62,22,35.5,-9.63,-3179.36,-0.155
TOTAL,2008,987,49.2,635.83,209824.54,0.317
