timestamp,reason,equity,open_trades
2023-01-04 14:00:00,DAILY_DD_4.4%,62662.14046029557,9
2023-01-19 03:00:00,DAILY_DD_4.5%,70886.056938279,31
2023-01-23 15:00:00,DAILY_DD_5.2%,68673.70319154662,5
2023-04-05 14:00:00,DAILY_DD_5.3%,99490.77720929198,21
2023-05-04 14:00:00,DAILY_DD_4.7%,118138.74319793082,24
2023-07-27 17:00:00,DAILY_DD_4.4%,155774.528631891,30
2023-08-31 14:00:00,DAILY_DD_4.5%,160302.8035976801,27
2023-09-11 21:00:00,DAILY_DD_4.4%,157665.83129851142,13
2023-10-24 16:00:00,DAILY_DD_4.4%,159802.0393494476,22
2023-11-14 14:00:00,DAILY_DD_4.9%,160661.51959566653,23
2024-02-28 09:00:00,DAILY_DD_4.7%,202341.83610697158,24
2024-03-07 11:00:00,DAILY_DD_4.2%,203419.97684972154,5
2024-04-19 14:00:00,DAILY_DD_4.8%,200590.77184173654,18
2024-09-27 16:00:00,DAILY_DD_4.5%,361244.78203098127,23
2025-01-27 10:00:00,DAILY_DD_5.0%,465694.4574760655,18
