trade_id,symbol,direction,entry_time,entry_price,stop_loss,risk,exit_time,exit_reason,rr,pnl_dollars,is_winner,tp1_hit,tp2_hit,tp3_hit,hours_in_trade
1,GBP_NZD,bearish,2023-01-01 22:00:00,1.91768,1.9394148417388355,0.021734841738835442,2023-01-02 02:00:00,TP1+Trail,0.21,75.6,True,True,False,False,4
3,NZD_CAD,bearish,2023-01-01 22:00:00,0.86688276,0.8801667819166925,0.013284021916692534,2023-01-02 02:00:00,TP1+Trail,0.21,75.6,True,True,False,False,4
4,NZD_CAD,bearish,2023-01-01 22:00:00,0.865286,0.8802005832083574,0.014914583208357368,2023-01-02 02:00:00,TP1+Trail,0.21,75.6,True,True,False,False,4
10,USD_CAD,bullish,2023-01-02 22:00:00,1.36319808,1.352633174941596,0.010564905058404017,2023-01-03 07:00:00,SL,-1.0,-360.0,False,False,False,False,9
8,EUR_USD,bullish,2023-01-02 22:00:00,1.05663868,1.044789968913511,0.011848711086489105,2023-01-03 08:00:00,TP1+Trail,0.21,75.6,True,True,False,False,10
12,CHF_JPY,bearish,2023-01-02 22:00:00,141.782886,143.9425256462469,2.159639646246916,2023-01-03 12:00:00,TP2+Trail,0.9445,340.02,True,True,True,False,14
13,GBP_CHF,bearish,2023-01-02 22:00:00,1.1258235,1.1386772654880566,0.012853765488056501,2023-01-03 15:00:00,TP1+Trail,0.21,75.6,True,True,False,False,17
5,EUR_AUD,bullish,2023-01-01 22:00:00,1.56553982,1.5450019837253277,0.020537836274672205,2023-01-04 08:00:00,SL,-1.0,-360.0,False,False,False,False,58
16,USD_CAD,bullish,2023-01-03 22:00:00,1.36044,1.3525920910171962,0.007847908982803853,2023-01-04 08:00:00,TP1+Trail,0.21,75.6,True,True,False,False,10
20,EUR_AUD,bullish,2023-01-03 22:00:00,1.56553982,1.5452940591270206,0.020245760872979357,2023-01-04 08:00:00,SL,-1.0,-360.0,False,False,False,False,10
21,EUR_AUD,bullish,2023-01-03 22:00:00,1.56759,1.5455765356758493,0.022013464324150744,2023-01-04 08:00:00,SL,-1.0,-360.0,False,False,False,False,10
6,CAD_JPY,bearish,2023-01-02 22:00:00,96.751292,98.09457892678688,1.343286926786874,2023-01-04 14:00:00,TP1+Trail,0.21,75.6,True,True,False,False,40
14,CAD_JPY,bearish,2023-01-03 22:00:00,96.909822,99.01211576730896,2.10229376730895,2023-01-04 14:00:00,TP1+Trail,0.21,75.6,True,True,False,False,16
7,EUR_JPY,bearish,2023-01-02 22:00:00,139.59322,141.92179251188904,2.3285725118890355,2023-01-04 15:00:00,TP1+Trail,0.21,75.6,True,True,False,False,41
2,EUR_JPY,bearish,2023-01-01 22:00:00,140.03824999999998,143.06716116664973,3.028911166649749,2023-01-04 16:00:00,TP1+Trail,0.21,75.6,True,True,False,False,66
18,CHF_JPY,bearish,2023-01-03 22:00:00,142.271846,145.55527377288132,3.2834277728813106,2023-01-04 16:00:00,TP1+Trail,0.21,75.6,True,True,False,False,18
15,NZD_CAD,bullish,2023-01-03 22:00:00,0.84836016,0.8274669109661951,0.02089324903380496,2023-01-04 19:00:00,TP1+Trail,0.21,75.6,True,True,False,False,21
