timestamp,reason,equity,open_trades
2023-02-09 22:00:00,DAILY_DD_5.7%,57088.95162830514,10
2023-03-13 08:00:00,DAILY_DD_5.9%,57835.2930782234,21
2023-03-28 17:00:00,DAILY_DD_5.2%,68031.65293606589,21
2023-04-25 13:00:00,DAILY_DD_5.0%,80289.64984151632,30
2023-05-02 06:00:00,DAILY_DD_4.4%,89001.27580960398,20
2023-05-05 12:00:00,DAILY_DD_4.9%,94387.76376599207,15
2023-06-05 18:00:00,DAILY_DD_4.4%,97911.25119458795,12
2023-06-12 13:00:00,DAILY_DD_4.7%,98059.48882574991,9
2023-07-20 15:00:00,DAILY_DD_4.4%,111606.83300028704,25
2023-07-27 01:00:00,DAILY_DD_4.8%,118485.23711555148,31
2023-08-01 12:00:00,DAILY_DD_4.5%,117044.89467169503,6
2023-08-31 09:00:00,DAILY_DD_5.3%,127724.20439522993,33
2023-09-08 12:00:00,DAILY_DD_4.6%,126552.49842778391,13
2023-09-28 15:00:00,DAILY_DD_4.2%,121110.47280063681,19
2023-10-03 14:00:00,DAILY_DD_5.7%,120484.28414928576,7
2023-10-24 16:00:00,DAILY_DD_4.8%,133678.52733330388,30
2023-11-03 12:00:00,DAILY_DD_4.5%,134064.0529909694,17
2024-03-03 22:00:00,DAILY_DD_4.5%,162257.39349096955,6
2024-03-13 21:00:00,DAILY_DD_6.1%,161034.69343710612,20
2024-04-09 21:00:00,DAILY_DD_4.6%,173310.570015506,37
2024-04-15 21:00:00,DAILY_DD_4.2%,171038.1895367959,11
2024-04-19 02:00:00,DAILY_DD_4.5%,165742.02654346588,4
2024-05-01 20:00:00,DAILY_DD_8.1%,185253.0155356586,31
2024-05-03 14:00:00,DAILY_DD_4.3%,182972.19771286636,6
2024-05-30 12:00:00,DAILY_DD_4.6%,185952.41430327194,24
2024-06-04 09:00:00,DAILY_DD_4.7%,196602.8948487684,13
2024-06-07 17:00:00,DAILY_DD_5.5%,198161.90012392713,9
2024-06-13 16:00:00,DAILY_DD_4.7%,188358.4593716715,8
2024-06-20 19:00:00,DAILY_DD_4.3%,184767.516848911,5
2024-07-11 13:00:00,DAILY_DD_4.3%,211469.02532465922,17
2024-07-22 13:00:00,DAILY_DD_4.7%,202528.70114393422,11
2024-07-31 13:00:00,DAILY_DD_4.3%,203592.60903202934,9
2024-08-19 03:00:00,DAILY_DD_5.0%,222491.08196809771,33
2024-09-03 10:00:00,DAILY_DD_4.4%,223902.8354691601,17
2024-09-25 21:00:00,DAILY_DD_4.2%,231964.49198403826,25
2024-10-31 15:00:00,DAILY_DD_5.2%,270620.29588503065,22
2025-03-17 16:00:00,DAILY_DD_4.8%,291919.134702578,16
2025-04-01 19:00:00,DAILY_DD_4.2%,294468.91013729863,23
2025-05-12 07:00:00,DAILY_DD_5.8%,341651.19244095974,33
2025-06-05 21:00:00,DAILY_DD_6.4%,335100.3098615545,17
2025-06-23 03:00:00,DAILY_DD_4.6%,321927.59697898914,16
2025-07-28 07:00:00,DAILY_DD_5.6%,372838.4445418278,19
2025-08-14 08:00:00,DAILY_DD_5.1%,411497.35507595085,29
2025-09-08 09:00:00,DAILY_DD_4.3%,450472.7063265963,25
2025-10-01 10:00:00,DAILY_DD_5.7%,473564.90779401234,22
2025-10-29 18:00:00,DAILY_DD_4.5%,500248.6925218727,26
