trade_id,symbol,direction,entry_time,exit_time,entry_price,exit_price,exit_reason,lot_size,risk_usd,commission,gross_pnl,net_pnl,final_r,risk_pct_used,lot_multiplier,tp1_hit,tp2_hit,tp3_hit
GBP_NZD_0,GBP_NZD,bearish,2023-01-01 23:00:00,2023-01-02 02:00:00,1.91768,1.91341,TP1+Trail,0.17,369.49,0.68,77.5929,76.9129,0.21,0.6,1.0,True,False,False
NZD_CAD_2,NZD_CAD,bearish,2023-01-01 23:00:00,2023-01-02 02:00:00,0.86688276,0.85588,TP1+Trail,0.27,358.67,1.08,75.3207,74.2407,0.21,0.6,1.0,True,False,False
NZD_CAD_3,NZD_CAD,bearish,2023-01-01 23:00:00,2023-01-02 02:00:00,0.865286,0.85588,TP1+Trail,0.24,357.95,0.96,75.1695,74.2095,0.21,0.6,1.0,True,False,False
USD_CAD_9,USD_CAD,bullish,2023-01-02 22:00:00,2023-01-03 07:00:00,1.36319808,1.35366,SL,0.47,364.25,1.88,-364.25,-366.13,-1.0,0.6,1.0,False,False,False
EUR_USD_7,EUR_USD,bullish,2023-01-02 22:00:00,2023-01-03 08:00:00,1.05663868,1.05518,TP1+Trail,0.3,355.46,1.2,74.64659999999999,73.44659999999999,0.21,0.6,1.0,True,False,False
GBP_CHF_12,GBP_CHF,bearish,2023-01-02 22:00:00,2023-01-03 15:00:00,1.1258235,1.12672,TP1+Trail,0.28,359.91,1.12,75.5811,74.4611,0.21,0.6,1.0,True,False,False
EUR_AUD_4,EUR_AUD,bullish,2023-01-01 23:00:00,2023-01-04 08:00:00,1.56553982,1.54502,SL,0.18,369.68,0.72,-369.68,-370.40000000000003,-1.0,0.6,1.0,False,False,False
CHF_JPY_11,CHF_JPY,bearish,2023-01-02 22:00:00,2023-01-04 08:00:00,141.782886,140.738,TP2+Trail,0.01,2159.64,0.04,1548.4618799999996,1548.4218799999996,0.7169999999999999,0.6,1.0,True,True,False
USD_CAD_15,USD_CAD,bullish,2023-01-03 22:00:00,2023-01-04 08:00:00,1.36044,1.35548,TP1+Trail,0.62,357.66,2.48,75.1086,72.62859999999999,0.21,0.6,1.0,True,False,False
EUR_AUD_19,EUR_AUD,bullish,2023-01-03 22:00:00,2023-01-04 08:00:00,1.56553982,1.54502,SL,0.18,364.42,0.72,-364.42,-365.14000000000004,-1.0,0.6,1.0,False,False,False
