date,balance,equity,daily_hwm,open_trades,trading_halted
2023-01-01,60000.0,60342.92254218494,60000.0,5,False
2023-01-02,60225.3631,60974.451025762544,60342.92254218494,10,False
2023-01-03,60007.14080000001,65518.843268301236,60974.451025762544,15,False
2023-01-04,64547.00146029557,64547.00146029557,64547.00146029557,0,True
2023-01-05,64547.00146029557,64637.99093869169,64547.00146029557,5,False
2023-01-06,64234.82006029557,64372.31209188383,64637.99093869169,4,False
2023-01-08,64234.82006029557,64504.47170700712,64372.31209188383,6,False
2023-01-09,64751.07028029557,64139.26924431597,64504.47170700712,9,False
2023-01-10,64832.40118029557,63641.48674401283,64751.07028029557,15,False
2023-01-11,64912.95258029557,69536.77090251585,64832.40118029557,22,False
2023-01-12,66894.64236029556,68352.83071341575,69536.77090251585,23,False
2023-01-13,66616.21024029556,66310.44491157476,68352.83071341575,20,False
2023-01-15,66616.21024029556,66331.51594263545,66616.21024029556,20,False
2023-01-16,66234.30024029556,66163.18192735613,66616.21024029556,22,False
2023-01-17,67357.31384029557,70559.82833546474,66234.30024029556,33,False
2023-01-18,74229.77772029555,71915.77616101663,70559.82833546474,33,False
2023-01-19,71464.72247827901,71464.72247827901,71464.72247827901,0,True
2023-01-20,71464.72247827901,71464.72247827901,71464.72247827901,0,False
2023-01-22,71464.72247827901,72440.2642266451,71464.72247827901,8,False
2023-01-23,68668.70319154662,68668.70319154662,68668.70319154662,0,True
2023-01-24,68668.70319154662,68961.1149683367,68668.70319154662,3,False
2023-01-25,68753.85579154662,69150.4900580493,68961.1149683367,2,False
2023-01-26,69051.41005154663,69163.71725987969,69150.4900580493,1,False
2023-01-27,69137.52775154663,69137.52775154663,69163.71725987969,0,False
2023-01-29,69137.52775154663,69323.93182909052,69137.52775154663,2,False
2023-01-30,69137.52775154663,69549.3014782735,69323.93182909052,10,False
2023-01-31,69281.30596154662,69630.88170178242,69549.3014782735,8,False
2023-02-01,69281.30596154662,72298.25586439055,69630.88170178242,14,False
2023-02-02,70378.06220154662,71588.89633829753,72298.25586439055,21,False
2023-02-03,72417.86328154663,71656.10259744355,71588.89633829753,12,False
2023-02-05,72417.86328154663,72427.13849346974,72417.86328154663,17,False
2023-02-06,72065.66858154663,73744.30553411537,72427.13849346974,19,False
2023-02-07,72065.66858154663,72189.70849869233,73744.30553411537,20,False
2023-02-08,72155.40738154664,72835.81748980291,72189.70849869233,22,False
2023-02-09,72246.62088154664,73328.47372307889,72835.81748980291,23,False
2023-02-10,73266.27069154664,70955.4384373544,73328.47372307889,22,False
2023-02-12,73266.27069154664,71929.79171914836,73266.27069154664,24,False
2023-02-13,73097.32629154665,75335.16104498309,73266.27069154664,25,False
2023-02-14,73190.03499154665,76451.01318614466,75335.16104498309,24,False
2023-02-15,72846.85859154665,76116.5982585889,76451.01318614466,26,False
2023-02-16,72153.63959154667,75586.65067813608,76116.5982585889,23,False
2023-02-17,72153.63959154667,76673.66022349519,75586.65067813608,23,False
2023-02-19,72153.63959154667,76653.52955932933,76673.66022349519,23,False
2023-02-20,72244.40349154668,77111.75802317451,76653.52955932933,29,False
2023-02-21,72077.97999154667,78687.3831177188,77111.75802317451,28,False
2023-02-22,72649.22585154667,77564.6963826654,78687.3831177188,25,False
2023-02-23,72955.89168154667,77052.1637536712,77564.6963826654,26,False
2023-02-24,73817.87686154667,79538.90080955268,77052.1637536712,23,False
2023-02-26,73817.87686154667,79793.53179731134,79538.90080955268,26,False
2023-02-27,73383.92686154667,80639.43583099286,79793.53179731134,25,False
2023-02-28,77331.19468154664,81344.1712417503,80639.43583099286,27,False
2023-03-01,77944.75883154666,82248.76877747876,81344.1712417503,20,False
2023-03-02,78538.14933154665,82722.48537917387,82248.76877747876,20,False
2023-03-03,78858.88643154665,82215.2082751091,82722.48537917387,19,False
2023-03-05,79095.07333154665,82753.8683733929,82215.2082751091,24,False
2023-03-06,79283.32873154666,84610.2000931065,82753.8683733929,26,False
2023-03-07,80430.03453154665,85840.41471305546,84610.2000931065,27,False
2023-03-08,80866.37115154666,85239.69177868277,85840.41471305546,26,False
2023-03-09,79598.01975154666,82797.71761096467,85239.69177868277,27,False
2023-03-10,84739.07977154666,85794.53513429506,82797.71761096467,14,False
