date,day_start_equity,day_end_balance,daily_pnl,daily_dd_pct,total_dd_pct,safety_triggered
2017-01-02,20000.0,20000.0,0.0,0.0,0.0,False
2017-01-03,20000.0,20020.879999999997,20.87999999999738,0.0,0.0,False
2017-01-04,20000.635409351526,20064.079999999994,63.444590648468875,0.018565519157266203,0.01538906223486265,False
2017-01-05,19996.922187553027,19946.701253823278,-50.22093372974996,0.9642581441934382,0.9794988161423861,False
2017-01-06,19804.100236771523,19946.701253823278,142.60101705175475,0.0,0.0,False
2017-01-08,20276.07678031609,19946.701253823278,-329.37552649281133,0.2766108880442324,0.0,False
2017-01-09,20219.990944273526,20076.266241577407,-143.7247026961195,0.0,0.0,False
2017-01-10,20483.758829306167,19981.24048493884,-502.5183443673268,0.8524427977125385,0.0,False
2017-01-11,20309.14650246494,20109.520484938836,-199.626017526105,0.1667410976336384,0.0,False
2017-01-12,20275.282808666707,20100.982766538837,-174.30004212787026,0.3236255345129351,0.0,False
2017-01-13,20209.66681630315,20100.982766538837,-108.68404976431339,0.07143894879847643,0.0,False
2017-01-15,20195.22924277391,20100.982766538837,-94.2464762350719,0.10324729454962993,0.0,False
2017-01-16,20174.37821495265,20478.500082538838,304.1218675861892,0.48734357105913717,0.0,False
2017-01-17,20076.059679720922,19753.57798660701,-322.4816931139103,3.0038194231891153,2.6349445017478685,False
2017-01-18,19473.011099650426,19593.166166468098,120.15506681767147,0.0,1.5816332764418441,False
2017-01-19,19683.67334471163,19636.882946557238,-46.79039815439319,0.9252470083794928,2.492246270247524,False
2017-01-20,19501.550745950495,19636.882946557238,135.33220060674284,1.4218102618911526,3.878621518916698,False
2017-01-22,19224.27569621666,19636.882946557238,412.6072503405776,0.40069414012199867,4.263774249894887,False
2017-01-23,19147.245150021023,19281.76595556081,134.52080553978885,1.4839946509695783,5.684494719066606,False
2017-01-24,18863.10105618668,19100.420271196363,237.31921500968383,0.0,5.3324609630163105,False
2017-01-25,18933.507807396738,18963.131887646203,29.624080249464896,0.12427839785019451,5.450112263815681,False
2017-01-26,18909.977547236864,18984.316393228484,74.33884599162047,0.8221863914451822,6.227488573909286,False
2017-01-27,18754.502285218143,18984.316393228484,229.81410801034144,0.13035742992831725,6.3497280097835755,False
2017-01-29,18730.054398043285,18984.316393228484,254.26199518519934,0.3158262170898709,6.645500121104651,False
2017-01-30,18670.89997577907,18984.316393228484,313.41641744941444,0.0,4.2455050837804995,False
2017-01-31,19150.8989832439,18812.617545689427,-338.2814375544731,1.4650583592589226,5.648364315916734,False
2017-02-01,18870.327136816653,18812.617545689427,-57.709591127226304,0.9257199747375753,6.521796253935917,False
2017-02-02,18695.640749212816,18853.57829958096,157.937550368144,0.0,4.017878220727453,False
2017-02-03,19196.42435585451,18852.85829958096,-343.5660562735502,0.0,3.272163659807211,False
2017-02-05,19345.567268038558,18852.85829958096,-492.70896845759853,0.0,3.1652212946644798,False
2017-02-06,19366.955741067104,18894.09932248982,-472.8564185772848,0.0,2.0586099596039276,False
2017-02-07,19588.278008079214,18980.49932248982,-607.7786855893937,1.019012791207879,3.0566452520023635,False
2017-02-08,19388.670949599527,18980.49932248982,-408.1716271097066,0.3419613113846993,3.388154019198937,False
2017-02-09,19322.369196160213,18810.465764578617,-511.9034315815952,1.655842014697267,4.987893556123654,False
2017-02-10,19002.42128877527,18829.703391527964,-172.7178972473048,0.0,4.217798919597662,False
2017-02-12,19156.440216080468,18829.703391527964,-326.7368245525031,0.623704901478212,4.815197202479849,False
2017-02-13,19036.96055950403,18492.262672277237,-544.6978872267937,0.0,4.508495584557403,False
2017-02-14,19098.30088308852,18680.902672277236,-417.3982108112832,0.0,3.664261032268732,False
2017-02-15,19267.147793546254,18803.19664891768,-463.95114462857237,0.0,2.516202778516672,False
2017-02-16,19496.759444296666,18896.689015064163,-600.0704292325026,1.5343717243138362,4.011966598870549,False
2017-02-17,19197.60668022589,18895.889015064164,-301.7176651617265,0.0,3.821581421063365,False
2017-02-19,19235.683715787327,18895.889015064164,-339.79470072316326,0.35247525310568867,4.160586545382521,False
2017-02-20,19167.882690923496,18895.889015064164,-271.99367585933214,0.0,3.3396329645313383,False
2017-02-21,19332.073407093732,18916.196467444996,-415.8769396487369,0.0,2.6163514249190123,False
2017-02-22,19476.729715016198,18936.604891581264,-540.1248234349332,0.09150272097496735,2.705460113149911,False
2017-02-23,19458.907977370018,18936.604891581264,-522.3030857887534,0.0,1.9361823390019164,False
2017-02-24,19612.763532199617,18936.604891581264,-676.1586406183524,0.7043891861278114,2.6269332661100817,False
2017-02-26,19474.613346777984,18936.604891581264,-538.0084551967193,0.44235958068958214,3.057672355818704,False
2017-02-27,19388.46552883626,18769.45452753077,-619.0110013054909,1.7617552770032483,4.765558928739847,False
2017-02-28,19046.88821425203,18788.769830556514,-258.11838369551697,0.8492586333566547,5.57434564146648,False
2017-03-01,18885.130871706704,18827.492712863248,-57.63815884345604,0.0,4.471884787874733,False
2017-03-02,19105.623042425053,18656.9853823395,-448.63766008555467,2.896479021412766,7.238836604544958,False
2017-03-03,18552.23267909101,18320.220366783095,-232.01231230791382,2.280806595131379,9.354539336989092,False
2017-03-05,18129.09213260218,18320.220366783095,191.12823418091284,0.2765497063202424,9.60521909224528,False
2017-03-06,18078.956181550944,18320.220366783095,241.26418523215034,0.0,9.054457625886407,False
2017-03-07,18189.10847482272,18150.144642086867,-38.96383273585161,0.13963751434937216,9.181451720669175,False
2017-03-08,18163.709655866165,17813.895224370048,-349.8144314961173,3.0621513530161106,11.962453125594292,False
2017-03-09,17607.50937488114,17559.918356152928,-47.591018728213385,1.182558755818624,13.003548844565502,False
2017-03-10,17399.2902310869,17559.541746277355,160.2515151904554,0.8586980549837442,13.750585678542102,False
2017-03-12,17249.88286429158,17559.541746277355,309.6588819857752,0.389155981033932,14.086230432980793,False
2017-03-13,17182.75391340384,17559.541746277355,376.78783287351325,0.08669001668483035,14.160709094153006,False
2017-03-14,17167.8581811694,17559.541746277355,391.6835651079564,0.0,13.41748309682951,False
2017-03-15,17316.503380634098,17439.007158858316,122.50377822421797,0.0,9.814650660000824,False
2017-03-16,18037.069867999835,17439.007158858316,-598.062709141519,1.9623534620122698,11.584405985002158,False
2017-03-17,17683.11880299957,17439.007158858316,-244.11164414125233,0.0,10.957060657560014,False
2017-03-19,17808.587868487997,17439.007158858316,-369.5807096296812,0.0,10.077298310141813,False
2017-03-20,17984.540337971637,17495.9965484693,-488.54378950233877,0.0,9.245475243940728,False
2017-03-21,18150.904951211854,17395.059543772506,-755.8454074393485,2.251328918825322,11.288658104916376,False
2017-03-22,17742.268379016725,17085.665850907557,-656.6025281091679,0.23365529618011807,11.49593685356669,False
2017-03-23,17700.812629286662,17085.665850907557,-615.146778379105,0.3647597317423002,11.818764036880657,False
2017-03-24,17636.24719262387,16927.630315013605,-708.616877610264,0.9443932887401607,12.651541711244482,False
2017-03-26,17469.691657751104,16927.630315013605,-542.0613427374992,0.0,11.710256668446037,False
2017-03-27,17657.948666310793,17062.27443602783,-595.6742302829625,0.0,11.105844751432178,False
2017-03-28,17778.831049713564,17061.15443602783,-717.6766136857332,1.6066542437974012,12.534066469221141,False
2017-03-29,17493.18670615577,17166.101424062814,-327.08528209295764,0.0,12.514088997027356,False
2017-03-30,17497.18220059453,17011.991034138562,-485.1911664559666,0.10053466204616072,12.602042661992199,False
