ticket,symbol,type,volume,open_price,close_price,open_time,close_time,pnl,swap,sl,tp,partial,mfe_r,mae_r
1000001_partial_1735814700,GBP_USD,sell,0.67,1.25346,1.2461873405668085,2025-01-02 03:00:00+00:00,2025-01-02 10:45:00+00:00,487.268182023834,0.0,1.2646487068202947,0,True,,
1000013_partial_1735822800,GBP_CAD,sell,0.59,1.801768,1.7899371452885333,2025-01-02 03:30:00+00:00,2025-01-02 13:00:00+00:00,698.0204279765364,0.0,1.819969314940718,0,True,,
1000006_partial_1735835400,EUR_GBP,sell,1.18,0.831774,0.8287166785714286,2025-01-02 13:15:00+00:00,2025-01-02 16:30:00+00:00,360.7639285714254,0.0,0.8364775714285715,0,True,,
1000015,AUD_CHF,sell,6.32,0.56185,0.56548,2025-01-02 00:00:00+00:00,2025-01-02 22:00:00+00:00,-2294.160000000014,0.0,0.5679425285029366,0,,0.1,0.829
1000016,AUD_CAD,sell,7.7700000000000005,0.8934,0.8929,2025-01-02 02:45:00+00:00,2025-01-02 22:00:00+00:00,388.49999999995725,0.0,0.9014496702812764,0,,0.102,0.472
1000017,AUD_NZD,buy,9.44,1.1073510000000002,1.1082,2025-01-02 05:45:00+00:00,2025-01-02 22:00:00+00:00,801.4559999998844,0.0,1.0990934023705594,0,,0.212,0.205
1000007,EUR_JPY,buy,1.25,162.4837,161.621,2025-01-02 06:30:00+00:00,2025-01-02 22:00:00+00:00,-1078.374999999987,0.0,158.97171439424486,0,,0.033,0.452
1000010,EUR_NZD,buy,2.89,1.83498,1.8348,2025-01-02 15:15:00+00:00,2025-01-02 22:00:00+00:00,-52.02000000001994,0.0,1.8080967035415696,0,,0.049,0.259
1000018,NZD_CHF,sell,4.21,0.51044,0.51024,2025-01-02 15:15:00+00:00,2025-01-02 22:00:00+00:00,84.19999999999072,0.0,0.5198234083162362,0,,0.07,0.09
1000001,GBP_USD,sell,2.0100000000000002,1.25346,1.23792,2025-01-02 03:00:00+00:00,2025-01-02 22:00:00+00:00,3123.5400000000222,0.0,1.2545788706820296,0,,1.631,0.055
1000013,GBP_CAD,sell,1.7800000000000002,1.801768,1.78312,2025-01-02 03:30:00+00:00,2025-01-02 22:00:00+00:00,3319.344,0.0,1.8035881314940718,0,,1.162,0.124
1000006,EUR_GBP,sell,3.5300000000000002,0.831774,0.82905,2025-01-02 13:15:00+00:00,2025-01-02 22:00:00+00:00,961.572000000021,0.0,0.8322443571428572,0,,0.887,0.163
1000014_partial_1735855200,AUD_JPY,buy,2.81,97.1458,97.618,2025-01-02 07:45:00+00:00,2025-01-02 22:00:00+00:00,1326.8820000000023,0.0,95.31479224506738,0,True,,
1000036,AUD_CAD,sell,8.4,0.893895,0.8985,2025-01-03 00:15:00+00:00,2025-01-03 19:30:00+00:00,-3868.199999999975,0.0,0.9014729081183281,0,,0.104,0.651
1000014_partial_1735932600,AUD_JPY,buy,0.28,97.1458,97.734,2025-01-02 07:45:00+00:00,2025-01-03 19:30:00+00:00,164.69600000000017,0.0,95.31479224506738,0,True,,
1000034_partial_1735932600,GBP_NZD,buy,0.99,2.2130400000000003,2.21577,2025-01-03 00:00:00+00:00,2025-01-03 19:30:00+00:00,270.26999999996804,0.0,2.196977142857143,0,True,,
1000030_partial_1735932600,EUR_NZD,buy,0.83,1.83691,1.83683,2025-01-03 08:15:00+00:00,2025-01-03 19:30:00+00:00,-6.640000000006641,0.0,1.8082533675743147,0,True,,
1000037_partial_1735932600,AUD_NZD,buy,2.75,1.10774,1.1085,2025-01-03 14:45:00+00:00,2025-01-03 19:30:00+00:00,209.00000000002584,0.0,1.0991313022012337,0,True,,
1000034,GBP_NZD,buy,2.3200000000000003,2.2130400000000003,2.21412,2025-01-03 00:00:00+00:00,2025-01-05 22:00:00+00:00,250.55999999989,0.0,2.196977142857143,0,,0.213,0.26
1000030,EUR_NZD,buy,1.9300000000000002,1.83691,1.83612,2025-01-03 08:15:00+00:00,2025-01-05 22:00:00+00:00,-152.47000000001324,0.0,1.8082533675743147,0,,0.053,0.068
1000037,AUD_NZD,buy,6.4,1.10774,1.10666,2025-01-03 14:45:00+00:00,2025-01-05 22:00:00+00:00,-691.1999999999807,0.0,1.0991313022012337,0,,0.107,0.163
1000014_partial_1736114400,AUD_JPY,buy,0.49,97.1458,97.622,2025-01-02 07:45:00+00:00,2025-01-05 22:00:00+00:00,233.3380000000028,0.0,95.31479224506738,0,True,,
