date,day_start_balance,day_end_balance,daily_pnl,daily_dd_pct,total_dd_pct,safety_triggered
2022-01-01,60000.0,60000.0,0.0,0.0,0.0,False
2022-01-02,60000.0,60000.0,0.0,0.0,0.0,False
2022-01-03,60000.0,60000.0,0.0,0.0,0.0,False
2022-01-04,60000.0,60000.0,0.0,0.0,0.0,False
2022-01-05,60000.0,60000.0,0.0,0.0,0.0,False
2022-01-06,60000.0,60000.0,0.0,0.0,0.0,False
2022-01-07,60000.0,60000.0,0.0,0.0,0.0,False
2022-01-08,60000.0,60000.0,0.0,0.0,0.0,False
2022-01-09,60000.0,60000.0,0.0,0.0,0.0,False
2022-01-10,60000.0,60000.0,0.0,0.0,0.0,False
2022-01-11,60000.0,60000.0,0.0,0.0,0.0,False
2022-01-12,60000.0,60000.0,0.0,0.0,0.0,False
2022-01-13,60000.0,60000.0,0.0,0.0,0.0,False
2022-01-14,60000.0,60000.0,0.0,0.0,0.0,False
2022-01-15,60000.0,60000.0,0.0,0.0,0.0,False
2022-01-16,60000.0,60000.0,0.0,0.0,0.0,False
2022-01-17,60000.0,60000.0,0.0,0.0,0.0,False
2022-01-18,60000.0,60000.0,0.0,0.0,0.0,False
2022-01-19,60000.0,60000.0,0.0,0.0,0.0,False
2022-01-20,60000.0,60000.0,0.0,0.0,0.0,False
2022-01-21,60000.0,60000.0,0.0,0.0,0.0,False
2022-01-22,60000.0,60000.0,0.0,0.0,0.0,False
2022-01-23,60000.0,60000.0,0.0,0.0,0.0,False
2022-01-24,60000.0,60000.0,0.0,0.0,0.0,False
2022-01-25,60000.0,60000.0,0.0,0.0,0.0,False
2022-01-26,60000.0,60000.0,0.0,0.0,0.0,False
2022-01-27,60000.0,60000.0,0.0,0.0,0.0,False
2022-01-28,60000.0,60000.0,0.0,0.0,0.0,False
2022-01-29,60000.0,60000.0,0.0,0.0,0.0,False
2022-01-30,60000.0,60000.0,0.0,0.0,0.0,False
2022-01-31,60000.0,60000.0,0.0,0.0,0.0,False
2022-02-01,60000.0,60000.0,0.0,0.0,0.0,False
2022-02-02,60000.0,60000.0,0.0,0.0,0.0,False
2022-02-03,60000.0,60000.0,0.0,0.0,0.0,False
2022-02-04,60000.0,60000.0,0.0,0.0,0.0,False
2022-02-05,60000.0,60000.0,0.0,0.0,0.0,False
2022-02-06,60000.0,60000.0,0.0,0.0,0.0,False
2022-02-07,60000.0,60000.0,0.0,0.0,0.0,False
2022-02-08,60000.0,60000.0,0.0,0.0,0.0,False
2022-02-09,60000.0,60000.0,0.0,0.0,0.0,False
2022-02-10,60000.0,60000.0,0.0,0.0,0.0,False
2022-02-11,60000.0,60000.0,0.0,0.0,0.0,False
2022-02-12,60000.0,60000.0,0.0,0.0,0.0,False
2022-02-13,60000.0,60000.0,0.0,0.0,0.0,False
2022-02-14,60000.0,60000.0,0.0,0.0,0.0,False
2022-02-15,60000.0,60000.0,0.0,0.0,0.0,False
2022-02-16,60000.0,60000.0,0.0,0.0,0.0,False
2022-02-17,60000.0,60000.0,0.0,0.0,0.0,False
2022-02-18,60000.0,60000.0,0.0,0.0,0.0,False
2022-02-19,60000.0,60000.0,0.0,0.0,0.0,False
2022-02-20,60000.0,60000.0,0.0,0.0,0.0,False
2022-02-21,60000.0,60000.0,0.0,0.0,0.0,False
