ticket,symbol,type,volume,open_price,close_price,open_time,close_time,pnl,sl,tp,partial
1000001_partial_1420196400,GBP_USD,sell,0.04,1.55531984,1.5442548348667822,2015-01-02 01:15:00+00:00,2015-01-02 11:00:00+00:00,44.260020532870925,1.5737615152220295,0,True
1000005_partial_1420200000,AUD_USD,sell,0.1,0.81697268,0.8118585430405949,2015-01-02 00:45:00+00:00,2015-01-02 12:00:00+00:00,51.14136959405102,0.8254962415990086,0,True
1000006_partial_1420200000,NZD_USD,sell,0.08,0.77817804,0.7722175644776627,2015-01-02 01:15:00+00:00,2015-01-02 12:00:00+00:00,47.683804178698885,0.7881121658705623,0,True
1000004_partial_1420212600,USD_CAD,buy,0.08,1.16445344,1.1716987686700155,2015-01-02 04:15:00+00:00,2015-01-02 15:30:00+00:00,57.96262936012476,1.1523778922166406,0,True
1000005,AUD_USD,sell,0.25,0.81697268,0.8127108992004957,2015-01-02 00:45:00+00:00,2015-01-02 16:00:00+00:00,106.54451998760861,0.8127108992004957,0,
1000001_partial_1420214400,GBP_USD,sell,0.05,1.55531984,1.5387223323001733,2015-01-02 01:15:00+00:00,2015-01-02 16:00:00+00:00,82.987538499133,1.5460990023889851,0,True
1000013,GBP_JPY,buy,0.14,186.739,184.575,2015-01-02 00:00:00+00:00,2015-01-02 19:30:00+00:00,-302.9600000000022,184.2558592092439,0,
1000009_partial_1420227000,EUR_CHF,sell,0.51,1.20277536,1.20198,2015-01-02 02:00:00+00:00,2015-01-02 19:30:00+00:00,40.56335999999549,1.2045375770947562,0,True
1000018_partial_1420227000,AUD_CHF,sell,0.06,0.81026,0.81186,2015-01-02 11:00:00+00:00,2015-01-02 19:30:00+00:00,-9.600000000000275,0.8252960627721215,0,True
1000015_partial_1420227000,GBP_CAD,buy,0.04,1.7996062800000001,1.80238,2015-01-02 11:15:00+00:00,2015-01-02 19:30:00+00:00,11.094879999999918,1.7753837133970607,0,True
1000022_partial_1420227000,NZD_CAD,buy,0.11,0.9004867200000001,0.90538,2015-01-02 12:00:00+00:00,2015-01-02 19:30:00+00:00,53.826079999998775,0.8913130140651302,0,True
1000004_partial_1420227000,USD_CAD,buy,0.09,1.16445344,1.1753214330050235,2015-01-02 04:15:00+00:00,2015-01-02 19:30:00+00:00,97.81193704521152,1.1704912138916796,0,True
1000022_partial_1420230600,NZD_CAD,buy,0.11,0.9004867200000001,0.905990943560922,2015-01-02 12:00:00+00:00,2015-01-02 20:30:00+00:00,60.54645917014145,0.8913130140651302,0,True
1000022,NZD_CAD,buy,0.16000000000000003,0.9004867200000001,0.9050735729674351,2015-01-02 12:00:00+00:00,2015-01-02 20:45:00+00:00,73.38964747895994,0.9050735729674351,0,
1000018,AUD_CHF,sell,0.14,0.81026,0.8252960627721215,2015-01-02 11:00:00+00:00,2015-01-04 22:00:00+00:00,-210.5048788097017,0.8252960627721215,0,
1000001_partial_1420408800,GBP_USD,sell,0.02,1.55531984,1.5313456622113615,2015-01-02 01:15:00+00:00,2015-01-04 22:00:00+00:00,47.948355577276836,1.5433327511056807,0,True
1000006_partial_1420408800,NZD_USD,sell,0.09,0.77817804,0.7692373267164939,2015-01-02 01:15:00+00:00,2015-01-04 22:00:00+00:00,80.46641955155486,0.7732109770647189,0,True
1000004_partial_1420409700,USD_CAD,buy,0.03,1.16445344,1.1801516521183673,2015-01-02 04:15:00+00:00,2015-01-04 22:15:00+00:00,47.094636355101905,1.1723025460591836,0,True
1000009_partial_1420419600,EUR_CHF,sell,0.47,1.20277536,1.2017180297431462,2015-01-02 02:00:00+00:00,2015-01-05 01:00:00+00:00,49.69452207212521,1.2045375770947562,0,True
1000006_partial_1420425900,NZD_USD,sell,0.04,0.77817804,0.765263676368269,2015-01-02 01:15:00+00:00,2015-01-05 02:45:00+00:00,51.65745452692417,0.7717208581841345,0,True
1000009,EUR_CHF,sell,0.72,1.20277536,1.2018942514526219,2015-01-02 02:00:00+00:00,2015-01-05 05:45:00+00:00,63.43981541122367,1.2018942514526219,0,
1000006,NZD_USD,sell,0.08999999999999997,0.77817804,0.7687406204229659,2015-01-02 01:15:00+00:00,2015-01-05 13:30:00+00:00,84.93677619330727,0.7687406204229659,0,
1000044_partial_1420468200,NZD_CAD,buy,0.11,0.9004867200000001,0.9060227870208561,2015-01-05 03:30:00+00:00,2015-01-05 14:30:00+00:00,60.896737229416786,0.8912599416319067,0,True
1000044_partial_1420474500,NZD_CAD,buy,0.12,0.9004867200000001,0.9087908205312841,2015-01-05 03:30:00+00:00,2015-01-05 16:15:00+00:00,99.64920637540862,0.9051001091840467,0,True
1000044,NZD_CAD,buy,0.16000000000000003,0.9004867200000001,0.9064841259392608,2015-01-05 03:30:00+00:00,2015-01-05 18:00:00+00:00,95.95849502817092,0.9064841259392608,0,
1000004,USD_CAD,buy,0.08999999999999997,1.16445344,1.1759252103941913,2015-01-02 04:15:00+00:00,2015-01-05 19:15:00+00:00,103.24593354772202,1.1759252103941913,0,
1000001,GBP_USD,sell,0.04999999999999999,1.55531984,1.5184364895559408,2015-01-02 01:15:00+00:00,2015-01-06 13:15:00+00:00,184.41675222029548,1.5378002485390718,0,
1000042_partial_1420555500,AUD_NZD,sell,0.12,1.05398,1.04807863958644,2015-01-05 00:00:00+00:00,2015-01-06 14:45:00+00:00,70.81632496271783,1.0638156006892663,0,True
1000072_partial_1420555500,NZD_CAD,buy,0.08,0.90434,0.9124040325193664,2015-01-06 00:00:00+00:00,2015-01-06 14:45:00+00:00,64.51226015493104,0.8908999458010561,0,True
1000042_partial_1420557300,AUD_NZD,sell,0.12,1.05398,1.04512795937966,2015-01-05 00:00:00+00:00,2015-01-06 15:15:00+00:00,106.22448744407808,1.0490621996553666,0,True
1000072_partial_1420559100,NZD_CAD,buy,0.08,0.90434,0.9164360487790495,2015-01-06 00:00:00+00:00,2015-01-06 15:45:00+00:00,96.76839023239569,0.911060027099472,0,True
1000042_partial_1420560900,AUD_NZD,sell,0.05,1.05398,1.0411937191039535,2015-01-05 00:00:00+00:00,2015-01-06 16:15:00+00:00,63.93140448023194,1.0475868595519768,0,True
1000066_partial_1420575300,AUD_USD,sell,0.12,0.81487388,0.8104999432135742,2015-01-06 02:30:00+00:00,2015-01-06 20:15:00+00:00,52.48724143711002,0.8221637746440431,0,True
1000066_partial_1420581600,AUD_USD,sell,0.13,0.81487388,0.8083129748203612,2015-01-06 02:30:00+00:00,2015-01-06 22:00:00+00:00,85.29176733530451,0.8112289326779785,0,True
1000066_partial_1420640100,AUD_USD,sell,0.05,0.81487388,0.805397016962744,2015-01-06 02:30:00+00:00,2015-01-07 14:15:00+00:00,47.38431518628017,0.8101354484813721,0,True
1000066,AUD_USD,sell,0.13,0.81487388,0.8079484800881591,2015-01-06 02:30:00+00:00,2015-01-07 19:45:00+00:00,90.03019885393215,0.8079484800881591,0,
1000072_partial_1420687800,NZD_CAD,buy,0.03,0.90434,0.9218120704586271,2015-01-06 00:00:00+00:00,2015-01-08 03:30:00+00:00,52.416211375881254,0.9130760352293136,0,True
1000059,AUD_CAD,sell,0.29,0.95600992,0.9682021852767402,2015-01-06 02:30:00+00:00,2015-01-09 13:45:00+00:00,-353.5756930254664,0.9682021852767402,0,
1000026,NAS100_USD,buy,1.59,4250.7001,4246.8,2015-01-02 00:00:00+00:00,2015-01-09 14:00:00+00:00,-6.201158999999744,4062.2579262866375,0,
1000015,GBP_CAD,buy,0.1,1.7996062800000001,1.79358,2015-01-02 11:15:00+00:00,2015-01-09 14:00:00+00:00,-60.26280000000161,1.7753837133970607,0,
1000042,AUD_NZD,sell,0.13,1.05398,1.04422,2015-01-05 00:00:00+00:00,2015-01-09 14:00:00+00:00,126.87999999999988,1.0446361793451968,0,
1000060,AUD_NZD,sell,0.41000000000000003,1.05439408,1.04422,2015-01-05 01:00:00+00:00,2015-01-09 14:00:00+00:00,417.1372800000035,1.0637983392038253,0,
1000045,CAD_JPY,buy,0.17,101.736,100.724,2015-01-05 13:45:00+00:00,2015-01-09 14:00:00+00:00,-172.04000000000008,99.57680535036181,0,
1000062,CAD_JPY,buy,0.19,101.492096,100.724,2015-01-05 14:45:00+00:00,2015-01-09 14:00:00+00:00,-145.93823999999998,99.57625191577425,0,
1000072,NZD_CAD,buy,0.09000000000000001,0.90434,0.92722,2015-01-06 00:00:00+00:00,2015-01-09 14:00:00+00:00,205.9200000000001,0.9171080514889968,0,
1000067,NZD_USD,sell,0.29,0.77624,0.78134,2015-01-06 14:45:00+00:00,2015-01-09 14:00:00+00:00,-147.89999999999978,0.7871889542865117,0,
1000082,GBP_AUD,buy,0.15,1.8577,1.85242,2015-01-08 08:00:00+00:00,2015-01-09 14:00:00+00:00,-79.19999999999926,1.830913794282885,0,
1000085,AUD_USD,sell,0.45,0.81487388,0.81586,2015-01-09 13:15:00+00:00,2015-01-09 14:00:00+00:00,-44.37539999999907,0.8221320090717794,0,
1000109_partial_1421087400,GBP_CAD,buy,0.04,1.79660508,1.8119333767788877,2015-01-12 03:45:00+00:00,2015-01-12 18:30:00+00:00,61.31318711555078,1.7710579187018538,0,True
1000111_partial_1421107200,AUD_JPY,sell,0.08,97.212,96.3835337821261,2015-01-12 00:00:00+00:00,2015-01-13 00:00:00+00:00,66.27729742991278,98.59277702978984,0,True
1000111,AUD_JPY,sell,0.2,97.212,96.52161148510508,2015-01-12 00:00:00+00:00,2015-01-13 02:15:00+00:00,138.077702978984,96.52161148510508,0,
1000109,GBP_CAD,buy,0.10999999999999999,1.79660508,1.809378660649073,2015-01-12 03:45:00+00:00,2015-01-13 09:30:00+00:00,140.50938713980264,1.809378660649073,0,
1000125_partial_1421150400,EUR_GBP,sell,0.1,0.78188608,0.7783763977797308,2015-01-13 07:30:00+00:00,2015-01-13 12:00:00+00:00,35.096822202692614,0.7877355503671154,0,True
1000131_partial_1421151300,GBP_CHF,buy,0.07,1.5362803999999999,1.5435748941099476,2015-01-13 07:30:00+00:00,2015-01-13 12:15:00+00:00,51.06145876963431,1.5241229098167535,0,True
1000125_partial_1421153100,EUR_GBP,sell,0.11,0.78188608,0.7766215566695962,2015-01-13 07:30:00+00:00,2015-01-13 12:45:00+00:00,57.9097566344422,0.7789613448164423,0,True
1000131_partial_1421158500,GBP_CHF,buy,0.08,1.5362803999999999,1.5472221411649216,2015-01-13 07:30:00+00:00,2015-01-13 14:15:00+00:00,87.53392931937398,1.542359145091623,0,True
1000114,AUD_NZD,sell,0.54,1.04814,1.0557510713109115,2015-01-12 01:45:00+00:00,2015-01-13 16:30:00+00:00,-410.99785078921735,1.0557510713109115,0,
1000141_partial_1421174700,NAS100_USD,sell,0.82,4237.559,4171.565732921246,2015-01-13 14:30:00+00:00,2015-01-13 18:45:00+00:00,54.114479004578186,4347.54777846459,0,True
1000141_partial_1421175600,NAS100_USD,sell,0.87,4237.559,4138.56909938187,2015-01-13 14:30:00+00:00,2015-01-13 19:00:00+00:00,86.12121353777343,4182.564610767706,0,True
1000141,NAS100_USD,sell,1.27,4237.559,4166.066293998017,2015-01-13 14:30:00+00:00,2015-01-13 19:30:00+00:00,90.79573662251919,4166.066293998017,0,
1000099_partial_1421201700,NZD_USD,sell,0.08,0.77822,0.771187013306409,2015-01-12 09:30:00+00:00,2015-01-14 02:15:00+00:00,56.26389354872785,0.7899416444893183,0,True
1000098_partial_1421204400,AUD_USD,sell,0.08,0.81562,0.8090537330994355,2015-01-12 10:00:00+00:00,2015-01-14 03:00:00+00:00,52.53013520451599,0.8265637781676075,0,True
1000098,AUD_USD,sell,0.21999999999999997,0.81562,0.8101481109161963,2015-01-12 10:00:00+00:00,2015-01-14 04:45:00+00:00,120.38155984368123,0.8101481109161963,0,
1000131,GBP_CHF,buy,0.12000000000000001,1.5362803999999999,1.54418276861911,2015-01-13 07:30:00+00:00,2015-01-14 06:00:00+00:00,94.82842342932241,1.54418276861911,0,
1000125,EUR_GBP,sell,0.16000000000000003,0.78188608,0.7780839242613751,2015-01-13 07:30:00+00:00,2015-01-14 06:30:00+00:00,60.834491817999506,0.7780839242613751,0,
1000099,NZD_USD,sell,0.2,0.77822,0.7723591777553409,2015-01-12 09:30:00+00:00,2015-01-14 07:30:00+00:00,117.21644489318228,0.7723591777553409,0,
1000104_partial_1421314200,EUR_CAD,sell,0.07,1.41185684,1.4024012658899845,2015-01-12 16:45:00+00:00,2015-01-15 09:30:00+00:00,66.18901877010863,1.4276161301833592,0,True
1000140_partial_1421314200,CHF_JPY,buy,0.02,116.449,119.38290071911598,2015-01-13 00:00:00+00:00,2015-01-15 09:30:00+00:00,58.678014382319645,111.55916546814004,0,True
1000104,EUR_CAD,sell,0.18,1.41185684,1.4039771949083204,2015-01-12 16:45:00+00:00,2015-01-15 09:45:00+00:00,141.83361165023277,1.4039771949083204,0,
1000140_partial_1421317800,CHF_JPY,buy,0.02,116.449,120.84985107867396,2015-01-13 00:00:00+00:00,2015-01-15 10:30:00+00:00,88.01702157347933,118.89391726592999,0,True
