date,day_start_balance,day_end_balance,daily_pnl,daily_dd_pct,total_dd_pct,safety_triggered
2022-01-01,20000.0,20000.0,0.0,0.0,0.0,False
2022-01-02,20000.0,20000.0,0.0,0.0,0.0,False
2022-01-03,20000.0,20000.0,0.0,0.0,0.0,False
2022-01-04,20000.0,20000.0,0.0,0.0,0.0,False
2022-01-05,20000.0,20000.0,0.0,0.0,0.0,False
2022-01-06,20000.0,20000.0,0.0,0.0,0.0,False
2022-01-07,20000.0,20000.0,0.0,0.0,0.0,False
2022-01-08,20000.0,20000.0,0.0,0.0,0.0,False
2022-01-09,20000.0,20000.0,0.0,0.0,0.0,False
2022-01-10,20000.0,20000.0,0.0,0.0,0.0,False
2022-01-11,20000.0,20000.0,0.0,0.0,0.0,False
2022-01-12,20000.0,20000.0,0.0,0.0,0.0,False
2022-01-13,20000.0,20000.0,0.0,0.0,0.0,False
2022-01-14,20000.0,20000.0,0.0,0.0,0.0,False
2022-01-15,20000.0,20000.0,0.0,0.0,0.0,False
2022-01-16,20000.0,20000.0,0.0,0.0,0.0,False
2022-01-17,20000.0,20000.0,0.0,0.0,0.0,False
2022-01-18,20000.0,20000.0,0.0,0.0,0.0,False
2022-01-19,20000.0,20000.0,0.0,0.0,0.0,False
2022-01-20,20000.0,20000.0,0.0,0.0,0.0,False
2022-01-21,20000.0,20000.0,0.0,0.0,0.0,False
2022-01-22,20000.0,20000.0,0.0,0.0,0.0,False
2022-01-23,20000.0,20000.0,0.0,0.0,0.0,False
2022-01-24,20000.0,20000.0,0.0,0.0,0.0,False
2022-01-25,20000.0,20000.0,0.0,0.0,0.0,False
2022-01-26,20000.0,20000.0,0.0,0.0,0.0,False
2022-01-27,20000.0,20000.0,0.0,0.0,0.0,False
2022-01-28,20000.0,20000.0,0.0,0.0,0.0,False
2022-01-29,20000.0,20000.0,0.0,0.0,0.0,False
2022-01-30,20000.0,20000.0,0.0,0.0,0.0,False
2022-01-31,20000.0,20000.0,0.0,0.0,0.0,False
2022-02-01,20000.0,20000.0,0.0,0.0,0.0,False
2022-02-02,20000.0,20000.0,0.0,0.0,0.0,False
2022-02-03,20000.0,20000.0,0.0,0.0,0.0,False
2022-02-04,20000.0,20000.0,0.0,0.0,0.0,False
2022-02-05,20000.0,20000.0,0.0,0.0,0.0,False
2022-02-06,20000.0,20000.0,0.0,0.0,0.0,False
2022-02-07,20000.0,20000.0,0.0,0.0,0.0,False
