ticket,symbol,type,volume,open_price,close_price,open_time,close_time,pnl,sl,tp
1000006,NZD_USD,sell,0.05,0.6382179,0.6207571909805748,2023-01-02 02:45:00+00:00,2023-01-03 08:30:00+00:00,87.303545097126,0.6207571909805748,0
1000024,NZD_CAD,sell,0.049999999999999996,0.865286,0.8440555907166827,2023-01-02 02:45:00+00:00,2023-01-03 08:30:00+00:00,106.1520464165866,0.8440555907166827,0
1000000,EUR_USD,buy,0.14,1.0637465,1.0552592868993564,2023-01-03 07:45:00+00:00,2023-01-03 08:45:00+00:00,-118.82098340900883,1.0552592868993564,0
1000027,EUR_USD,sell,0.03,1.06447282,1.0496608263753306,2023-01-03 07:45:00+00:00,2023-01-03 10:30:00+00:00,44.43598087400802,1.0496608263753306,0
1000004,USD_CAD,sell,0.14,1.36303376,1.362239316588343,2023-01-03 09:00:00+00:00,2023-01-03 23:30:00+00:00,11.122207763196723,1.362239316588343,0
1000020,AUD_CAD,buy,0.08000000000000002,0.91455754,0.9285141862309131,2023-01-03 08:30:00+00:00,2023-01-04 04:00:00+00:00,111.6531698473047,0.9285141862309131,0
1000005,AUD_USD,buy,0.05,0.6731889,0.6859218855941787,2023-01-03 08:15:00+00:00,2023-01-04 07:30:00+00:00,63.66492797089341,0.6859218855941787,0
1000010,EUR_AUD,buy,0.08,1.56759,1.545596153065576,2023-01-02 07:45:00+00:00,2023-01-04 08:15:00+00:00,-175.95077547539262,1.545596153065576,0
1000031,USD_CAD,buy,0.12,1.35786192,1.35786192,2023-01-03 01:00:00+00:00,2023-01-04 08:30:00+00:00,0.0,1.35786192,0
1000011,EUR_CAD,buy,0.14,1.4430606400000001,1.4317368040194571,2023-01-03 07:00:00+00:00,2023-01-04 16:00:00+00:00,-158.5337037276018,1.4317368040194571,0
1000034,EUR_CAD,buy,0.17,1.44192,1.4322885714285716,2023-01-03 07:15:00+00:00,2023-01-04 16:00:00+00:00,-163.7342857142847,1.4322885714285716,0
1000008,EUR_JPY,sell,0.05,140.03824999999998,140.232,2023-01-02 00:30:00+00:00,2023-01-04 17:00:00+00:00,-9.687500000001137,143.0675940944555,0
1000017,GBP_NZD,sell,0.1,1.91264836,1.91198,2023-01-02 01:30:00+00:00,2023-01-04 17:00:00+00:00,6.683599999999235,1.9313090742857142,0
1000019,AUD_CHF,sell,0.11,0.62921,0.63598,2023-01-02 04:00:00+00:00,2023-01-04 17:00:00+00:00,-74.46999999999936,0.6396827431972778,0
1000009,EUR_CHF,sell,0.12,0.98617,0.98483,2023-01-02 07:45:00+00:00,2023-01-04 17:00:00+00:00,16.080000000000094,0.9953572101337353,0
1000040,AUD_JPY,sell,0.07,88.569432,90.562,2023-01-03 01:00:00+00:00,2023-01-04 17:00:00+00:00,-139.47975999999943,90.81531839725325,0
1000032,AUD_USD,buy,0.13,0.67278,0.6855,2023-01-03 08:30:00+00:00,2023-01-04 17:00:00+00:00,165.35999999999942,0.6765348244554796,0
1000041,AUD_CAD,buy,0.16,0.91455754,0.92461,2023-01-03 08:30:00+00:00,2023-01-04 17:00:00+00:00,160.83936000000065,0.9185451532088323,0
