trial,score,p_target,p30,p40,p50,complete_rate,median_days,fastest,breach_rate,n
88,184.0,0.08,0.08,0.08,0.24,0.84,64,29,0.0,25
89,184.0,0.08,0.08,0.08,0.24,0.84,64,29,0.0,25
90,184.0,0.08,0.08,0.08,0.24,0.84,64,29,0.0,25
91,184.0,0.08,0.08,0.08,0.24,0.84,64,29,0.0,25
92,184.0,0.08,0.08,0.08,0.24,0.84,64,29,0.0,25
93,184.0,0.08,0.08,0.08,0.24,0.84,64,29,0.0,25
94,184.0,0.08,0.08,0.08,0.24,0.84,64,29,0.0,25
95,184.0,0.08,0.08,0.08,0.24,0.84,64,29,0.0,25
96,184.0,0.08,0.08,0.08,0.24,0.84,64,29,0.0,25
97,184.0,0.08,0.08,0.08,0.24,0.84,64,29,0.0,25
98,184.0,0.08,0.08,0.08,0.24,0.84,64,29,0.0,25
99,184.0,0.08,0.08,0.08,0.24,0.84,64,29,0.0,25
100,184.0,0.08,0.08,0.08,0.24,0.84,64,29,0.0,25
101,184.0,0.08,0.08,0.08,0.24,0.84,64,29,0.0,25
102,184.0,0.08,0.08,0.08,0.24,0.84,64,29,0.0,25
103,184.0,0.08,0.08,0.08,0.24,0.84,64,29,0.0,25
104,184.0,0.08,0.08,0.08,0.24,0.84,64,29,0.0,25
105,184.0,0.08,0.08,0.08,0.24,0.84,64,29,0.0,25
106,184.0,0.08,0.08,0.08,0.24,0.84,64,29,0.0,25
107,184.0,0.08,0.08,0.08,0.24,0.84,64,29,0.0,25
108,184.0,0.08,0.08,0.08,0.24,0.84,64,29,0.0,25
109,184.0,0.08,0.08,0.08,0.24,0.84,64,29,0.0,25
110,184.0,0.08,0.08,0.08,0.24,0.84,64,29,0.0,25
111,184.0,0.08,0.08,0.08,0.24,0.84,64,29,0.0,25
112,184.0,0.08,0.08,0.08,0.24,0.84,64,29,0.0,25
113,184.0,0.08,0.08,0.08,0.24,0.84,64,29,0.0,25
114,184.0,0.08,0.08,0.08,0.24,0.84,64,29,0.0,25
115,184.0,0.08,0.08,0.08,0.24,0.84,64,29,0.0,25
116,184.0,0.08,0.08,0.08,0.24,0.84,64,29,0.0,25
117,184.0,0.08,0.08,0.08,0.24,0.84,64,29,0.0,25
118,184.0,0.08,0.08,0.08,0.24,0.84,64,29,0.0,25
119,184.0,0.08,0.08,0.08,0.24,0.84,64,29,0.0,25
120,184.0,0.08,0.08,0.08,0.24,0.84,64,29,0.0,25
