ticket,symbol,type,volume,open_price,close_price,open_time,close_time,pnl,sl,tp,partial
1000010_partial_1674432000,SPX500_USD,buy,0.19,3906.165,3993.7955826691923,2023-01-19 00:00:00+00:00,2023-01-23 00:00:00+00:00,16.649810707146543,3760.114028884679,0,True
1000010_partial_1675296000,SPX500_USD,buy,0.29,3906.165,4139.846553784513,2023-01-19 00:00:00+00:00,2023-02-02 00:00:00+00:00,67.76765059750882,3964.5853884461285,0,True
1000010,SPX500_USD,buy,0.48000000000000004,3906.165,4066.8210682268527,2023-01-19 00:00:00+00:00,2023-02-10 00:00:00+00:00,77.11491274888934,4066.8210682268527,0,
1000015,SPX500_USD,buy,1.25,4065.119,3952.6264266388125,2023-02-17 00:00:00+00:00,2023-02-24 00:00:00+00:00,-140.61571670148453,3952.6264266388125,0,
1000031,SPX500_USD,sell,1.07,3980.788,4112.361643126377,2023-03-21 00:00:00+00:00,2023-04-03 00:00:00+00:00,-140.7837981452236,4112.361643126377,0,
1000048_partial_1682553600,SPX500_USD,buy,0.34,4059.6595,4109.372235796734,2023-04-26 00:00:00+00:00,2023-04-27 00:00:00+00:00,16.902330170889336,3976.804940338778,0,True
1000048,SPX500_USD,buy,1.3399999999999999,4059.6595,4092.801323864489,2023-04-26 00:00:00+00:00,2023-05-02 00:00:00+00:00,44.41004397841491,4092.801323864489,0,
1000050,SPX500_USD,sell,1.72,4139.345,4220.5612144528895,2023-05-05 00:00:00+00:00,2023-05-30 00:00:00+00:00,-139.69188885896958,4220.5612144528895,0,
1000067_partial_1687996800,SPX500_USD,buy,0.29,4335.5592373046875,4393.553968815427,2023-06-26 00:00:00+00:00,2023-06-29 00:00:00+00:00,16.818472138114384,4238.901351453455,0,True
1000067_partial_1689206400,SPX500_USD,buy,0.43,4335.5592373046875,4490.211854666659,2023-06-26 00:00:00+00:00,2023-07-13 00:00:00+00:00,66.50062546564769,4374.22239164518,0,True
1000067_partial_1689638400,SPX500_USD,buy,0.29,4335.5592373046875,4538.540797592275,2023-06-26 00:00:00+00:00,2023-07-18 00:00:00+00:00,58.86465248340048,4441.882911741042,0,True
1000067,SPX500_USD,buy,0.42,4335.5592373046875,4538.540797592275,2023-06-26 00:00:00+00:00,2023-07-20 00:00:00+00:00,85.2522553207869,4538.540797592275,0,
1000078,SPX500_USD,buy,1.51,4482.2065,4389.455596881123,2023-08-04 00:00:00+00:00,2023-08-17 00:00:00+00:00,-140.05386370950492,4389.455596881123,0,
1000084,SPX500_USD,buy,1.02,4458.679,4322.072287864742,2023-08-29 00:00:00+00:00,2023-09-22 00:00:00+00:00,-139.3388463779632,4322.072287864742,0,
1000094,SPX500_USD,buy,1.27,4327.228,4218.435622625546,2023-10-12 00:00:00+00:00,2023-10-23 00:00:00+00:00,-138.16631926555684,4218.435622625546,0,
1000099,SPX500_USD,sell,0.98,4314.189,4453.611922254571,2023-11-02 00:00:00+00:00,2023-11-14 00:00:00+00:00,-136.63446380947954,4453.611922254571,0,
1000111_partial_1701993600,SPX500_USD,buy,0.66,4569.77988516,4595.632397594847,2023-12-04 00:00:00+00:00,2023-12-08 00:00:00+00:00,17.062658206999078,4526.6923644352555,0,True
1000111_partial_1702339200,SPX500_USD,buy,0.99,4569.77988516,4638.719918319592,2023-12-04 00:00:00+00:00,2023-12-12 00:00:00+00:00,68.2506328279957,4587.0148934498975,0,True
1000111_partial_1702425600,SPX500_USD,buy,0.66,4569.77988516,4660.263678681964,2023-12-04 00:00:00+00:00,2023-12-13 00:00:00+00:00,59.71930372449617,4617.176157957219,0,True
1000111_partial_1702426500,SPX500_USD,buy,0.66,4569.77988516,4673.189934899387,2023-12-04 00:00:00+00:00,2023-12-13 00:15:00+00:00,68.2506328279951,4660.263678681964,0,True
1000111,SPX500_USD,buy,0.33000000000000007,4569.77988516,4724.894959769081,2023-12-04 00:00:00+00:00,2023-12-18 00:00:00+00:00,51.18797462099664,4681.807439044336,0,
1000129_partial_1705622400,SPX500_USD,buy,0.49,4768.029,4801.983246376988,2024-01-16 00:00:00+00:00,2024-01-19 00:00:00+00:00,16.63758072472393,4711.438589371688,0,True
1000129_partial_1705968000,SPX500_USD,buy,0.73,4768.029,4858.5736570053,2024-01-16 00:00:00+00:00,2024-01-23 00:00:00+00:00,66.097599613869,4790.665164251325,0,True
1000129_partial_1706140800,SPX500_USD,buy,0.49,4768.029,4886.868862319457,2024-01-16 00:00:00+00:00,2024-01-25 00:00:00+00:00,58.23153253653353,4830.278451691144,0,True
1000129,SPX500_USD,buy,0.73,4768.029,4886.868862319457,2024-01-16 00:00:00+00:00,2024-01-26 00:00:00+00:00,86.75309949320301,4886.868862319457,0,
1000140_partial_1707868800,SPX500_USD,buy,0.31,4936.777,4990.432065476349,2024-02-13 00:00:00+00:00,2024-02-14 00:00:00+00:00,16.63307029766809,4847.351890872752,0,True
1000140,SPX500_USD,buy,1.25,4936.777,4972.5470436508995,2024-02-13 00:00:00+00:00,2024-02-20 00:00:00+00:00,44.71255456362428,4972.5470436508995,0,
1000152_partial_1710201600,SPX500_USD,buy,0.34,5123.69004141,5172.688248311554,2024-03-08 00:00:00+00:00,2024-03-12 00:00:00+00:00,16.6593903465284,5042.026363240743,0,True
1000152,SPX500_USD,buy,1.3599999999999999,5123.69004141,5123.69004141,2024-03-08 00:00:00+00:00,2024-03-14 00:00:00+00:00,0.0,5123.69004141,0,
1000153_partial_1710806400,SPX500_USD,buy,0.55,5124.5155,5154.923148700768,2024-03-15 00:00:00+00:00,2024-03-19 00:00:00+00:00,16.724206785422304,5073.836085498721,0,True
1000153_partial_1710892800,SPX500_USD,buy,0.83,5124.5155,5205.602563202047,2024-03-15 00:00:00+00:00,2024-03-20 00:00:00+00:00,67.30226245769894,5144.787265800512,0,True
1000153_partial_1710979200,SPX500_USD,buy,0.55,5124.5155,5230.942270452687,2024-03-15 00:00:00+00:00,2024-03-21 00:00:00+00:00,58.53472374897756,5180.262855951408,0,True
1000153,SPX500_USD,buy,0.8399999999999996,5124.5155,5230.942270452687,2024-03-15 00:00:00+00:00,2024-03-22 00:00:00+00:00,89.3984871802566,5230.942270452687,0,
1000160,SPX500_USD,buy,1.52,5191.569,5098.009488462075,2024-04-02 00:00:00+00:00,2024-04-15 00:00:00+00:00,-142.21045753764687,5098.009488462075,0,
1000166_partial_1715212800,SPX500_USD,buy,0.16,5104.84,5210.798523321862,2024-04-30 00:00:00+00:00,2024-05-09 00:00:00+00:00,16.95336373149796,4928.2424611302295,0,True
1000166_partial_1718150400,SPX500_USD,buy,0.24,5104.84,5387.396062191633,2024-04-30 00:00:00+00:00,2024-06-12 00:00:00+00:00,67.81345492599189,5175.479015547909,0,True
1000166_partial_1718668800,SPX500_USD,buy,0.16,5104.84,5475.694831626519,2024-04-30 00:00:00+00:00,2024-06-18 00:00:00+00:00,59.336773060243,5299.097292756747,0,True
1000166,SPX500_USD,buy,0.24000000000000002,5104.84,5475.694831626519,2024-04-30 00:00:00+00:00,2024-06-20 00:00:00+00:00,89.0051595903645,5475.694831626519,0,
1000184,SPX500_USD,buy,1.47,5573.5155,5476.845323751496,2024-07-18 00:00:00+00:00,2024-07-24 00:00:00+00:00,-142.1051590853016,5476.845323751496,0,
1000228_partial_1728000000,SPX500_USD,buy,0.25,5676.4195,5744.280138881968,2024-10-02 00:00:00+00:00,2024-10-04 00:00:00+00:00,16.96515972049201,5563.318435196719,0,True
1000228_partial_1728864000,SPX500_USD,buy,0.38,5676.4195,5857.381203685249,2024-10-02 00:00:00+00:00,2024-10-14 00:00:00+00:00,68.76544740039452,5721.659925921313,0,True
1000228,SPX500_USD,buy,0.62,5676.4195,5800.830671283608,2024-10-02 00:00:00+00:00,2024-10-23 00:00:00+00:00,77.1349261958372,5800.830671283608,0,
1000229,SPX500_USD,buy,1.56,5807.825,5716.3689447374845,2024-10-24 00:00:00+00:00,2024-10-31 00:00:00+00:00,-142.67144620952385,5716.3689447374845,0,
1000232_partial_1730852100,SPX500_USD,buy,0.26,5807.825,5872.848897224644,2024-11-06 00:00:00+00:00,2024-11-06 00:15:00+00:00,16.906213278407524,5699.451837958926,0,True
1000232_partial_1731024000,SPX500_USD,buy,0.39,5807.825,5981.222059265718,2024-11-06 00:00:00+00:00,2024-11-08 00:00:00+00:00,67.62485311362997,5851.174264816429,0,True
1000232,SPX500_USD,buy,0.66,5807.825,5927.035478245181,2024-11-06 00:00:00+00:00,2024-11-15 00:00:00+00:00,78.67891564181983,5927.035478245181,0,
1000255,SPX500_USD,buy,1.32,5963.467,5855.079931008107,2024-12-18 00:00:00+00:00,2024-12-20 00:00:00+00:00,-143.0709310692977,5855.079931008107,0,
